player_id,player,zone,fga,fgm,fg,lg_fg,fg_rel,per75,lg_per75,vol_rel,pps
1641824,Matas Buzelis,RIM,349,225,0.6446991404011462,0.6709395531139062,-2.624041271276001,5.354595015576324,3.7208761276655227,43.90683354825349,1.2893982808022924
1641824,Matas Buzelis,SHORT MID,106,42,0.39622641509433965,0.44392231208277033,-4.769589698843069,1.6263239875389408,2.963587313672267,-45.12312898506386,0.7924528301886793
1641824,Matas Buzelis,LONG MID,13,6,0.46153846153846156,0.411581264522441,4.9957197016020585,0.19945482866043612,0.9774823412822187,-79.59504532851203,0.9230769230769231
1641824,Matas Buzelis,THREE,495,173,0.34949494949494947,0.35964603715510607,-1.01510876601566,7.594626168224298,5.4372978223335835,39.67647931716256,1.0484848484848484
1626181,Norman Powell,RIM,229,144,0.62882096069869,0.6709395531139062,-4.211859241521621,4.528826815642458,3.7208761276655227,21.71399047578193,1.25764192139738
1626181,Norman Powell,SHORT MID,197,99,0.5025380710659898,0.44392231208277033,5.861575898321947,3.895977653631285,2.963587313672267,31.4615444484295,1.0050761421319796
1626181,Norman Powell,LONG MID,59,22,0.3728813559322034,0.411581264522441,-3.8699908590237584,1.1668156424581004,0.9774823412822187,19.36948558349634,0.7457627118644068
1626181,Norman Powell,THREE,410,156,0.3804878048780488,0.35964603715510607,2.0841767722942715,8.108379888268157,5.4372978223335835,49.12517491617181,1.1414634146341465
1630188,Jalen Smith,RIM,149,99,0.6644295302013423,0.6709395531139062,-0.6510022912563862,4.702351485148515,3.7208761276655227,26.3775337798942,1.3288590604026846
1630188,Jalen Smith,SHORT MID,25,11,0.44,0.44392231208277033,-0.39223120827703295,0.7889851485148516,2.963587313672267,-73.37736111654503,0.88
1630188,Jalen Smith,LONG MID,10,3,0.3,0.411581264522441,-11.1581264522441,0.3155940594059406,0.9774823412822187,-67.71357946047823,0.6
1630188,Jalen Smith,THREE,220,82,0.37272727272727274,0.35964603715510607,1.3081235572166672,6.943069306930693,5.4372978223335835,27.693378839985282,1.1181818181818182
1630581,Josh Giddey,RIM,221,127,0.5746606334841629,0.6709395531139062,-9.627891962974333,4.392259414225941,3.7208761276655227,18.04368819398574,1.1493212669683257
1630581,Josh Giddey,SHORT MID,187,88,0.47058823529411764,0.44392231208277033,2.666592321134731,3.71652719665272,2.963587313672267,25.406367462393533,0.9411764705882353
1630581,Josh Giddey,LONG MID,26,3,0.11538461538461539,0.411581264522441,-29.61966491378256,0.5167364016736402,0.9774823412822187,-47.13598600709166,0.23076923076923078
1630581,Josh Giddey,THREE,283,103,0.36395759717314485,0.35964603715510607,0.4311560018038785,5.624476987447698,5.4372978223335835,3.442503449880574,1.0918727915194346
