season,GAME_ID,GAME_DATE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_DISTANCE,SHOT_MADE_FLAG
2010-11,0021000011,20101027,Layup Shot,2PT Field Goal,Restricted Area,2,1
2010-11,0021000011,20101027,Layup Shot,2PT Field Goal,Restricted Area,1,1
2010-11,0021000011,20101027,Layup Shot,2PT Field Goal,Restricted Area,2,0
2010-11,0021000011,20101027,Dunk Shot,2PT Field Goal,Restricted Area,2,1
2010-11,0021000011,20101027,Jump Shot,2PT Field Goal,Mid-Range,17,0
2010-11,0021000011,20101027,Jump Shot,2PT Field Goal,In The Paint (Non-RA),4,1
2010-11,0021000011,20101027,Dunk Shot,2PT Field Goal,Restricted Area,0,1
2010-11,0021000011,20101027,Layup Shot,2PT Field Goal,Restricted Area,1,1
2010-11,0021000011,20101027,Dunk Shot,2PT Field Goal,Restricted Area,0,1
2010-11,0021000011,20101027,Jump Shot,2PT Field Goal,Mid-Range,14,0
2010-11,0021000011,20101027,Jump Shot,2PT Field Goal,Mid-Range,17,0
2010-11,0021000011,20101027,Dunk Shot,2PT Field Goal,Restricted Area,1,1
2010-11,0021000035,20101030,Layup Shot,2PT Field Goal,Restricted Area,0,1
2010-11,0021000035,20101030,Jump Shot,2PT Field Goal,Mid-Range,18,0
2010-11,0021000035,20101030,Layup Shot,2PT Field Goal,Restricted Area,0,0
2010-11,0021000035,20101030,Jump Shot,2PT Field Goal,Mid-Range,18,1
2010-11,0021000035,20101030,Driving Layup Shot,2PT Field Goal,Restricted Area,2,0
2010-11,0021000035,20101030,Layup Shot,2PT Field Goal,Restricted Area,2,1
2010-11,0021000035,20101030,Jump Bank Shot,2PT Field Goal,Mid-Range,16,1
2010-11,0021000035,20101030,Slam Dunk Shot,2PT Field Goal,Restricted Area,2,1
2010-11,0021000044,20101101,Jump Shot,2PT Field Goal,Mid-Range,17,0
2010-11,0021000044,20101101,Layup Shot,2PT Field Goal,Restricted Area,1,1
2010-11,0021000044,20101101,Jump Shot,2PT Field Goal,Mid-Range,17,1
2010-11,0021000044,20101101,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),4,1
2010-11,0021000044,20101101,Jump Shot,2PT Field Goal,In The Paint (Non-RA),13,0
2010-11,0021000044,20101101,Jump Shot,2PT Field Goal,In The Paint (Non-RA),12,1
2010-11,0021000044,20101101,Reverse Slam Dunk Shot,2PT Field Goal,Restricted Area,1,1
2010-11,0021000044,20101101,Jump Shot,2PT Field Goal,Mid-Range,17,0
2010-11,0021000044,20101101,Slam Dunk Shot,2PT Field Goal,Restricted Area,0,1
2010-11,0021000066,20101104,Jump Shot,2PT Field Goal,Mid-Range,17,1
2010-11,0021000066,20101104,Jump Shot,2PT Field Goal,Mid-Range,16,1
2010-11,0021000066,20101104,Running Slam Dunk Shot,2PT Field Goal,Restricted Area,2,1
2010-11,0021000066,20101104,Layup Shot,2PT Field Goal,Restricted Area,2,0
2010-11,0021000066,20101104,Putback Dunk Shot,2PT Field Goal,Restricted Area,1,1
2010-11,0021000066,20101104,Layup Shot,2PT Field Goal,In The Paint (Non-RA),4,1
2010-11,0021000066,20101104,Reverse Layup Shot,2PT Field Goal,Restricted Area,2,0
2010-11,0021000066,20101104,Layup Shot,2PT Field Goal,Restricted Area,3,0
2010-11,0021000066,20101104,Driving Layup Shot,2PT Field Goal,Restricted Area,1,1
2010-11,0021000066,20101104,Layup Shot,2PT Field Goal,Restricted Area,2,0
2010-11,0021000073,20101105,Jump Shot,2PT Field Goal,Mid-Range,16,1
2010-11,0021000073,20101105,Jump Shot,2PT Field Goal,Mid-Range,21,1
2010-11,0021000073,20101105,Jump Shot,2PT Field Goal,Mid-Range,18,1
2010-11,0021000073,20101105,Jump Shot,2PT Field Goal,In The Paint (Non-RA),12,0
2010-11,0021000073,20101105,Slam Dunk Shot,2PT Field Goal,Restricted Area,1,1
2010-11,0021000073,20101105,Jump Shot,2PT Field Goal,Mid-Range,16,0
2010-11,0021000073,20101105,Jump Shot,2PT Field Goal,Mid-Range,19,1
2010-11,0021000073,20101105,Layup Shot,2PT Field Goal,Restricted Area,1,1
2010-11,0021000073,20101105,Jump Shot,2PT Field Goal,Mid-Range,18,1
2010-11,0021000073,20101105,Jump Shot,2PT Field Goal,In The Paint (Non-RA),7,1
2010-11,0021000073,20101105,Jump Shot,2PT Field Goal,Mid-Range,21,0
2010-11,0021000073,20101105,Jump Shot,2PT Field Goal,Mid-Range,17,0
2010-11,0021000073,20101105,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),9,1
2010-11,0021000073,20101105,Jump Shot,2PT Field Goal,Mid-Range,20,0
2010-11,0021000098,20101108,Jump Bank Shot,2PT Field Goal,Mid-Range,16,1
2010-11,0021000098,20101108,Jump Shot,2PT Field Goal,Mid-Range,16,0
2010-11,0021000098,20101108,Layup Shot,2PT Field Goal,Restricted Area,1,1
2010-11,0021000098,20101108,Jump Shot,2PT Field Goal,Mid-Range,15,1
2010-11,0021000098,20101108,Tip Shot,2PT Field Goal,Restricted Area,2,0
2010-11,0021000098,20101108,Jump Shot,2PT Field Goal,Mid-Range,17,1
2010-11,0021000098,20101108,Jump Shot,2PT Field Goal,In The Paint (Non-RA),4,1
2010-11,0021000098,20101108,Jump Shot,2PT Field Goal,Mid-Range,21,0
2010-11,0021000098,20101108,Jump Shot,2PT Field Goal,Mid-Range,19,1
2010-11,0021000098,20101108,Jump Shot,2PT Field Goal,Mid-Range,18,0
2010-11,0021000098,20101108,Jump Shot,2PT Field Goal,In The Paint (Non-RA),14,0
2010-11,0021000098,20101108,Jump Shot,2PT Field Goal,Mid-Range,16,1
2010-11,0021000119,20101111,Jump Shot,2PT Field Goal,Mid-Range,18,0
2010-11,0021000119,20101111,Jump Shot,2PT Field Goal,Mid-Range,14,0
2010-11,0021000119,20101111,Jump Shot,2PT Field Goal,In The Paint (Non-RA),10,1
2010-11,0021000119,20101111,Jump Shot,2PT Field Goal,Mid-Range,17,1
2010-11,0021000119,20101111,Reverse Dunk Shot,2PT Field Goal,Restricted Area,0,1
2010-11,0021000119,20101111,Jump Shot,2PT Field Goal,Mid-Range,16,0
2010-11,0021000119,20101111,Jump Shot,2PT Field Goal,Mid-Range,16,1
2010-11,0021000119,20101111,Tip Shot,2PT Field Goal,Restricted Area,1,0
2010-11,0021000119,20101111,Putback Layup Shot,2PT Field Goal,Restricted Area,0,1
2010-11,0021000119,20101111,Jump Shot,2PT Field Goal,Mid-Range,17,0
2010-11,0021000134,20101113,Jump Shot,2PT Field Goal,Mid-Range,14,0
2010-11,0021000134,20101113,Layup Shot,2PT Field Goal,Restricted Area,0,0
2010-11,0021000134,20101113,Jump Shot,2PT Field Goal,Mid-Range,17,1
2010-11,0021000134,20101113,Jump Shot,2PT Field Goal,In The Paint (Non-RA),12,1
2010-11,0021000134,20101113,Jump Shot,2PT Field Goal,Mid-Range,18,1
2010-11,0021000134,20101113,Jump Shot,2PT Field Goal,Mid-Range,19,1
2010-11,0021000134,20101113,Jump Shot,2PT Field Goal,Mid-Range,19,0
2010-11,0021000134,20101113,Jump Shot,2PT Field Goal,Mid-Range,20,0
2010-11,0021000156,20101116,Jump Shot,2PT Field Goal,Mid-Range,17,0
2010-11,0021000156,20101116,Jump Shot,2PT Field Goal,Mid-Range,18,0
2010-11,0021000156,20101116,Jump Shot,2PT Field Goal,Mid-Range,19,0
2010-11,0021000156,20101116,Jump Shot,2PT Field Goal,Mid-Range,11,0
