season,GAME_ID,GAME_DATE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_DISTANCE,SHOT_MADE_FLAG
2013-14,0021300002,20131029,Tip Shot,2PT Field Goal,Restricted Area,1,0
2013-14,0021300002,20131029,Jump Shot,2PT Field Goal,Mid-Range,19,0
2013-14,0021300002,20131029,Jump Shot,2PT Field Goal,Mid-Range,17,0
2013-14,0021300002,20131029,Layup Shot,2PT Field Goal,Restricted Area,0,1
2013-14,0021300002,20131029,Dunk Shot,2PT Field Goal,Restricted Area,0,0
2013-14,0021300002,20131029,Dunk Shot,2PT Field Goal,Restricted Area,0,1
2013-14,0021300002,20131029,Dunk Shot,2PT Field Goal,Restricted Area,0,1
2013-14,0021300002,20131029,Jump Shot,2PT Field Goal,Mid-Range,12,1
2013-14,0021300018,20131031,Jump Shot,2PT Field Goal,In The Paint (Non-RA),4,1
2013-14,0021300018,20131031,Reverse Layup Shot,2PT Field Goal,Restricted Area,2,1
2013-14,0021300018,20131031,Slam Dunk Shot,2PT Field Goal,Restricted Area,2,1
2013-14,0021300018,20131031,Layup Shot,2PT Field Goal,Restricted Area,3,0
2013-14,0021300018,20131031,Jump Shot,2PT Field Goal,Mid-Range,16,0
2013-14,0021300034,20131102,Jump Shot,2PT Field Goal,Mid-Range,15,1
2013-14,0021300034,20131102,Jump Shot,2PT Field Goal,In The Paint (Non-RA),7,1
2013-14,0021300034,20131102,Jump Shot,2PT Field Goal,Mid-Range,18,1
2013-14,0021300034,20131102,Putback Dunk Shot,2PT Field Goal,Restricted Area,0,1
2013-14,0021300034,20131102,Jump Shot,2PT Field Goal,Mid-Range,18,1
2013-14,0021300034,20131102,Jump Shot,2PT Field Goal,Mid-Range,17,0
2013-14,0021300034,20131102,Layup Shot,2PT Field Goal,Restricted Area,2,0
2013-14,0021300034,20131102,Jump Shot,2PT Field Goal,Mid-Range,17,0
2013-14,0021300034,20131102,Slam Dunk Shot,2PT Field Goal,Restricted Area,1,1
2013-14,0021300061,20131106,Jump Hook Shot,2PT Field Goal,In The Paint (Non-RA),4,1
2013-14,0021300061,20131106,Layup Shot,2PT Field Goal,Restricted Area,1,1
2013-14,0021300061,20131106,Jump Shot,2PT Field Goal,Mid-Range,15,0
2013-14,0021300061,20131106,Jump Shot,2PT Field Goal,Mid-Range,18,1
2013-14,0021300061,20131106,Layup Shot,2PT Field Goal,Restricted Area,1,0
2013-14,0021300061,20131106,Jump Shot,2PT Field Goal,Mid-Range,17,0
2013-14,0021300061,20131106,Jump Shot,2PT Field Goal,Mid-Range,8,0
2013-14,0021300061,20131106,Jump Shot,2PT Field Goal,Mid-Range,18,0
2013-14,0021300079,20131108,Layup Shot,2PT Field Goal,Restricted Area,2,1
2013-14,0021300079,20131108,Layup Shot,2PT Field Goal,Restricted Area,2,1
2013-14,0021300079,20131108,Layup Shot,2PT Field Goal,Restricted Area,2,0
2013-14,0021300079,20131108,Layup Shot,2PT Field Goal,Restricted Area,1,0
2013-14,0021300079,20131108,Jump Shot,2PT Field Goal,Mid-Range,10,0
2013-14,0021300079,20131108,Jump Shot,2PT Field Goal,In The Paint (Non-RA),4,0
2013-14,0021300079,20131108,Jump Shot,2PT Field Goal,Mid-Range,17,0
2013-14,0021300079,20131108,Jump Shot,2PT Field Goal,In The Paint (Non-RA),6,0
2013-14,0021300079,20131108,Jump Shot,2PT Field Goal,In The Paint (Non-RA),5,0
2013-14,0021300079,20131108,Slam Dunk Shot,2PT Field Goal,Restricted Area,1,1
2013-14,0021300079,20131108,Layup Shot,2PT Field Goal,Restricted Area,2,0
2013-14,0021300079,20131108,Putback Layup Shot,2PT Field Goal,Restricted Area,1,1
2013-14,0021300079,20131108,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),9,1
2013-14,0021300102,20131111,Layup Shot,2PT Field Goal,Restricted Area,1,0
2013-14,0021300102,20131111,Jump Shot,2PT Field Goal,Mid-Range,16,1
2013-14,0021300102,20131111,Layup Shot,2PT Field Goal,Restricted Area,1,1
2013-14,0021300102,20131111,Tip Shot,2PT Field Goal,Restricted Area,1,0
2013-14,0021300102,20131111,Layup Shot,2PT Field Goal,Restricted Area,2,0
2013-14,0021300102,20131111,Jump Shot,2PT Field Goal,Mid-Range,19,0
2013-14,0021300102,20131111,Jump Shot,2PT Field Goal,Mid-Range,15,1
2013-14,0021300126,20131115,Layup Shot,2PT Field Goal,Restricted Area,2,0
2013-14,0021300126,20131115,Putback Dunk Shot,2PT Field Goal,Restricted Area,1,1
2013-14,0021300126,20131115,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),8,1
2013-14,0021300126,20131115,Turnaround Bank shot,2PT Field Goal,Mid-Range,9,0
2013-14,0021300126,20131115,Jump Shot,2PT Field Goal,Mid-Range,15,1
2013-14,0021300126,20131115,Turnaround Jump Shot,2PT Field Goal,Mid-Range,12,0
2013-14,0021300126,20131115,Jump Shot,2PT Field Goal,Mid-Range,17,0
2013-14,0021300126,20131115,Jump Hook Shot,2PT Field Goal,Restricted Area,3,0
2013-14,0021300140,20131116,Jump Shot,2PT Field Goal,Mid-Range,17,0
2013-14,0021300140,20131116,Layup Shot,2PT Field Goal,Restricted Area,2,0
2013-14,0021300140,20131116,Layup Shot,2PT Field Goal,Restricted Area,1,1
2013-14,0021300140,20131116,Layup Shot,2PT Field Goal,Restricted Area,1,1
2013-14,0021300140,20131116,Jump Shot,2PT Field Goal,Mid-Range,13,0
2013-14,0021300140,20131116,Jump Shot,2PT Field Goal,Mid-Range,18,0
2013-14,0021300140,20131116,Tip Shot,2PT Field Goal,Restricted Area,1,1
2013-14,0021300140,20131116,Turnaround Jump Shot,2PT Field Goal,Restricted Area,2,1
2013-14,0021300140,20131116,Layup Shot,2PT Field Goal,Restricted Area,1,0
2013-14,0021300140,20131116,Layup Shot,2PT Field Goal,Restricted Area,2,0
2013-14,0021300140,20131116,Dunk Shot,2PT Field Goal,Restricted Area,0,1
2013-14,0021300140,20131116,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),7,1
2013-14,0021300140,20131116,Turnaround Bank shot,2PT Field Goal,In The Paint (Non-RA),7,1
2013-14,0021300151,20131118,Jump Shot,2PT Field Goal,Mid-Range,16,0
2013-14,0021300151,20131118,Jump Shot,2PT Field Goal,Mid-Range,12,0
2013-14,0021300151,20131118,Reverse Layup Shot,2PT Field Goal,Restricted Area,1,1
2013-14,0021300151,20131118,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),7,0
2013-14,0021300151,20131118,Driving Layup Shot,2PT Field Goal,Restricted Area,2,0
2013-14,0021300151,20131118,Hook Shot,2PT Field Goal,In The Paint (Non-RA),4,1
2013-14,0021300175,20131121,Turnaround Jump Shot,2PT Field Goal,Mid-Range,13,1
2013-14,0021300175,20131121,Jump Shot,2PT Field Goal,Mid-Range,12,0
2013-14,0021300175,20131121,Jump Shot,2PT Field Goal,Mid-Range,16,1
2013-14,0021300175,20131121,Jump Shot,2PT Field Goal,Mid-Range,15,0
2013-14,0021300175,20131121,Putback Dunk Shot,2PT Field Goal,Restricted Area,1,1
2013-14,0021300175,20131121,Turnaround Jump Shot,2PT Field Goal,Mid-Range,13,0
