season,GAME_ID,GAME_DATE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_DISTANCE,SHOT_MADE_FLAG
2012-13,0021200007,20121031,Tip Shot,2PT Field Goal,Restricted Area,1,0
2012-13,0021200007,20121031,Jump Shot,2PT Field Goal,In The Paint (Non-RA),5,0
2012-13,0021200007,20121031,Jump Shot,2PT Field Goal,Mid-Range,14,0
2012-13,0021200007,20121031,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),4,1
2012-13,0021200007,20121031,Jump Shot,2PT Field Goal,Mid-Range,15,0
2012-13,0021200007,20121031,Layup Shot,2PT Field Goal,Restricted Area,2,1
2012-13,0021200019,20121102,Dunk Shot,2PT Field Goal,Restricted Area,0,1
2012-13,0021200019,20121102,Reverse Layup Shot,2PT Field Goal,Restricted Area,0,1
2012-13,0021200019,20121102,Hook Shot,2PT Field Goal,In The Paint (Non-RA),8,0
2012-13,0021200019,20121102,Jump Shot,2PT Field Goal,Mid-Range,17,0
2012-13,0021200019,20121102,Jump Shot,2PT Field Goal,Mid-Range,17,0
2012-13,0021200019,20121102,Jump Shot,2PT Field Goal,Mid-Range,14,0
2012-13,0021200019,20121102,Dunk Shot,2PT Field Goal,Restricted Area,1,1
2012-13,0021200031,20121103,Running Dunk Shot,2PT Field Goal,Restricted Area,0,1
2012-13,0021200031,20121103,Hook Shot,2PT Field Goal,Restricted Area,3,1
2012-13,0021200031,20121103,Jump Shot,2PT Field Goal,Mid-Range,13,1
2012-13,0021200031,20121103,Jump Shot,2PT Field Goal,Mid-Range,11,0
2012-13,0021200031,20121103,Putback Layup Shot,2PT Field Goal,Restricted Area,1,0
2012-13,0021200031,20121103,Hook Shot,2PT Field Goal,Restricted Area,3,1
2012-13,0021200031,20121103,Layup Shot,2PT Field Goal,Restricted Area,1,0
2012-13,0021200050,20121106,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),6,0
2012-13,0021200050,20121106,Pullup Jump shot,2PT Field Goal,Mid-Range,16,1
2012-13,0021200050,20121106,Layup Shot,2PT Field Goal,Restricted Area,0,0
2012-13,0021200050,20121106,Dunk Shot,2PT Field Goal,Restricted Area,1,1
2012-13,0021200050,20121106,Jump Shot,2PT Field Goal,Mid-Range,14,0
2012-13,0021200050,20121106,Jump Shot,2PT Field Goal,Mid-Range,15,1
2012-13,0021200050,20121106,Jump Shot,2PT Field Goal,Mid-Range,19,1
2012-13,0021200050,20121106,Jump Shot,2PT Field Goal,Mid-Range,16,0
2012-13,0021200050,20121106,Slam Dunk Shot,2PT Field Goal,Restricted Area,0,1
2012-13,0021200066,20121108,Jump Shot,2PT Field Goal,Mid-Range,19,0
2012-13,0021200066,20121108,Jump Shot,2PT Field Goal,Mid-Range,19,0
2012-13,0021200066,20121108,Driving Layup Shot,2PT Field Goal,Restricted Area,2,1
2012-13,0021200066,20121108,Jump Shot,2PT Field Goal,In The Paint (Non-RA),6,0
2012-13,0021200066,20121108,Jump Shot,2PT Field Goal,Mid-Range,19,1
2012-13,0021200084,20121110,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,8,0
2012-13,0021200084,20121110,Jump Shot,2PT Field Goal,In The Paint (Non-RA),6,0
2012-13,0021200084,20121110,Jump Shot,2PT Field Goal,In The Paint (Non-RA),7,0
2012-13,0021200084,20121110,Slam Dunk Shot,2PT Field Goal,Restricted Area,1,1
2012-13,0021200084,20121110,Hook Shot,2PT Field Goal,Mid-Range,9,0
2012-13,0021200084,20121110,Jump Shot,2PT Field Goal,In The Paint (Non-RA),8,0
2012-13,0021200084,20121110,Hook Shot,2PT Field Goal,Mid-Range,9,1
2012-13,0021200084,20121110,Jump Shot,2PT Field Goal,Mid-Range,18,0
2012-13,0021200084,20121110,Jump Shot,2PT Field Goal,In The Paint (Non-RA),4,1
2012-13,0021200098,20121112,Jump Shot,2PT Field Goal,Mid-Range,18,0
2012-13,0021200098,20121112,Putback Layup Shot,2PT Field Goal,Restricted Area,2,1
2012-13,0021200098,20121112,Jump Shot,2PT Field Goal,Mid-Range,19,0
2012-13,0021200098,20121112,Jump Shot,2PT Field Goal,Mid-Range,17,0
2012-13,0021200116,20121114,Dunk Shot,2PT Field Goal,Restricted Area,0,1
2012-13,0021200116,20121114,Layup Shot,2PT Field Goal,Restricted Area,1,1
2012-13,0021200116,20121114,Tip Shot,2PT Field Goal,Restricted Area,1,0
2012-13,0021200132,20121117,Jump Shot,2PT Field Goal,Mid-Range,16,0
2012-13,0021200132,20121117,Jump Shot,2PT Field Goal,Mid-Range,15,0
2012-13,0021200132,20121117,Hook Shot,2PT Field Goal,In The Paint (Non-RA),8,0
2012-13,0021200132,20121117,Layup Shot,2PT Field Goal,Restricted Area,1,1
2012-13,0021200132,20121117,Tip Shot,2PT Field Goal,Restricted Area,1,0
2012-13,0021200132,20121117,Layup Shot,2PT Field Goal,Restricted Area,3,0
2012-13,0021200145,20121118,Jump Shot,2PT Field Goal,Mid-Range,23,0
2012-13,0021200145,20121118,Dunk Shot,2PT Field Goal,Restricted Area,1,1
2012-13,0021200145,20121118,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),7,0
2012-13,0021200145,20121118,Jump Shot,2PT Field Goal,Mid-Range,20,0
2012-13,0021200145,20121118,Jump Shot,2PT Field Goal,Mid-Range,18,0
2012-13,0021200145,20121118,Jump Hook Shot,2PT Field Goal,Restricted Area,2,1
2012-13,0021200145,20121118,Jump Shot,2PT Field Goal,Restricted Area,3,1
2012-13,0021200165,20121121,Jump Shot,2PT Field Goal,Mid-Range,19,1
2012-13,0021200165,20121121,Layup Shot,2PT Field Goal,Restricted Area,2,1
2012-13,0021200165,20121121,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),6,1
2012-13,0021200165,20121121,Jump Shot,2PT Field Goal,In The Paint (Non-RA),7,0
2012-13,0021200165,20121121,Layup Shot,2PT Field Goal,Restricted Area,2,1
2012-13,0021200165,20121121,Jump Shot,2PT Field Goal,Mid-Range,16,0
2012-13,0021200165,20121121,Jump Shot,2PT Field Goal,In The Paint (Non-RA),4,0
2012-13,0021200188,20121124,Jump Shot,2PT Field Goal,In The Paint (Non-RA),4,0
2012-13,0021200188,20121124,Layup Shot,2PT Field Goal,Restricted Area,1,1
2012-13,0021200199,20121126,Jump Shot,2PT Field Goal,Mid-Range,14,0
2012-13,0021200199,20121126,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),5,1
2012-13,0021200214,20121128,Jump Shot,2PT Field Goal,Mid-Range,16,0
2012-13,0021200214,20121128,Putback Dunk Shot,2PT Field Goal,Restricted Area,1,1
2012-13,0021200214,20121128,Layup Shot,2PT Field Goal,Restricted Area,2,1
2012-13,0021200214,20121128,Jump Bank Shot,2PT Field Goal,Mid-Range,11,1
2012-13,0021200214,20121128,Jump Shot,2PT Field Goal,In The Paint (Non-RA),7,0
2012-13,0021200214,20121128,Layup Shot,2PT Field Goal,Restricted Area,2,0
2012-13,0021200214,20121128,Layup Shot,2PT Field Goal,Restricted Area,2,0
2012-13,0021200214,20121128,Layup Shot,2PT Field Goal,Restricted Area,1,0
2012-13,0021200214,20121128,Jump Shot,3PT Field Goal,Above the Break 3,25,0
2012-13,0021200235,20121201,Pullup Jump shot,2PT Field Goal,Mid-Range,18,1
