milestone,games,share,of_games
Double-doubles,74,0.13167259786476868,562
Games in double figures,253,0.4501779359430605,562
20-point games,22,0.03914590747330961,562
10-rebound games,100,0.17793594306049823,562
15-rebound games,10,0.017793594306049824,562
5+ offensive rebound games,72,0.12811387900355872,562
3+ block games,66,0.11743772241992882,562
5+ block games,15,0.026690391459074734,562
Games won,337,0.599644128113879,562
