season,games,starts,minutes,points,rebounds,offensive_rebounds,blocks,fg_pct,is_career
2009-10,82,70,26.9,9.0,7.5,2.8,1.3,0.494,False
2010-11,80,19,21.8,7.1,5.7,2.0,1.3,0.466,False
2011-12,63,0,20.4,7.7,5.3,2.1,1.3,0.495,False
2012-13,65,5,22.4,8.0,5.3,1.9,1.4,0.485,False
2013-14,82,8,28.7,13.0,6.8,2.4,1.4,0.479,False
2014-15,62,17,27.3,10.3,6.4,2.6,1.2,0.502,False
2015-16,73,55,26.5,8.6,6.9,2.8,1.1,0.526,False
2016-17,55,55,27.3,11.6,6.9,2.2,0.9,0.521,False
Bulls career,562,229,25.2135231316726,9.395017793594306,6.380782918149467,2.377224199288256,1.2366548042704626,0.49478221415607987,True
