season_end_year,season,player_id,player,game_id,game_date,matchup,opponent,result,minutes,points,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,tov,pf,plus_minus,game_score,ts_pct,player_source_url,team_game_date,team_matchup,team_result,team_points,team_plus_minus,decade,first_nba_season_end,first_bulls_season_end,debut_rule,is_debut,rookie_season,status
1984,1983–84,76291,Wallace Bryant,0028300147,1983-11-23,CHI @ UTH,UTH,W,2.0,0,0,1.0,0.0,0.0,0,0.0,,,2.0,0.0,0.0,0.0,,0.0,,,0.0,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1983-11-23,CHI @ UTH,W,128,,1980s,1984,1984,entered NBA 1983-84 or later,True,True,debut
1984,1983–84,77134,Steve Johnson,0028300600,1984-02-17,CHI vs. SAN,SAN,L,22.0,11,4,6.0,0.0,0.0,3,5.0,1.0,6.0,7.0,2.0,1.0,1.0,2.0,4.0,,9.600000000000001,67.07317073170732,https://www.nba.com/stats/players/boxscores-traditional?Season=1983-84&SeasonType=Regular%20Season&TeamID=1610612741,1984-02-17,CHI vs. SAN,L,109,,1980s,1982,1984,career team history,True,False,debut
1985,1984–85,893,Michael Jordan,0028400005,1984-10-26,CHI vs. WAS,WAS,W,40.0,16,5,16.0,0.0,0.0,6,7.0,1.0,5.0,6.0,7.0,2.0,4.0,5.0,2.0,,12.5,41.928721174004195,https://www.nba.com/stats/players/boxscores-traditional?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741,1984-10-26,CHI vs. WAS,W,109,,1980s,1985,1985,entered NBA 1983-84 or later,True,True,debut
1985,1984–85,77175,Caldwell Jones,0028400005,1984-10-26,CHI vs. WAS,WAS,W,29.0,0,0,5.0,0.0,1.0,0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,4.0,,-0.10000000000000009,0.0,https://www.nba.com/stats/players/boxscores-traditional?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741,1984-10-26,CHI vs. WAS,W,109,,1980s,1977,1985,career team history,True,False,debut
1985,1984–85,77484,Wes Matthews,0028400005,1984-10-26,CHI vs. WAS,WAS,W,2.0,2,0,0.0,0.0,0.0,2,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,3.4,113.63636363636364,https://www.nba.com/stats/players/boxscores-traditional?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741,1984-10-26,CHI vs. WAS,W,109,,1980s,1981,1985,career team history,True,False,debut
1985,1984–85,279,Charles Jones,0028400035,1984-11-01,CHI @ DEN,DEN,L,11.0,4,0,2.0,0.0,0.0,4,6.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,1.0,,1.7999999999999994,43.103448275862064,https://www.nba.com/stats/players/boxscores-traditional?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741,1984-11-01,CHI @ DEN,L,113,,1980s,1984,1985,entered NBA 1983-84 or later,True,False,debut
1985,1984–85,76670,Chris Engler,0028400494,1985-01-25,CHI vs. SEA,SEA,W,1.0,2,1,2.0,0.0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.7,50.0,https://www.nba.com/stats/players/boxscores-traditional?Season=1984-85&SeasonType=Regular%20Season&TeamID=1610612741,1985-01-25,CHI vs. SEA,W,93,,1980s,1983,1985,career team history,True,False,debut
1986,1985–86,76093,Gene Banks,0028500007,1985-10-25,CHI vs. CLE,CLE,W,16.0,2,1,5.0,0.0,0.0,0,0.0,2.0,2.0,4.0,2.0,0.0,0.0,0.0,1.0,,1.9,20.0,https://www.nba.com/stats/players/boxscores-traditional?Season=1985-86&SeasonType=Regular%20Season&TeamID=1610612741,1985-10-25,CHI vs. CLE,W,116,,1980s,1982,1986,career team history,True,False,debut
1986,1985–86,891,Charles Oakley,0028500007,1985-10-25,CHI vs. CLE,CLE,W,19.0,5,0,4.0,0.0,0.0,5,6.0,3.0,6.0,9.0,1.0,0.0,0.0,3.0,1.0,,2.999999999999999,37.65060240963855,https://www.nba.com/stats/players/boxscores-traditional?Season=1985-86&SeasonType=Regular%20Season&TeamID=1610612741,1985-10-25,CHI vs. CLE,W,116,,1980s,1986,1986,entered NBA 1983-84 or later,True,True,debut
1986,1985–86,77438,Kyle Macy,0028500007,1985-10-25,CHI vs. CLE,CLE,W,46.0,8,3,6.0,1.0,3.0,1,2.0,0.0,3.0,3.0,13.0,2.0,0.0,2.0,5.0,,12.600000000000001,58.139534883720934,https://www.nba.com/stats/players/boxscores-traditional?Season=1985-86&SeasonType=Regular%20Season&TeamID=1610612741,1985-10-25,CHI vs. CLE,W,116,,1980s,1981,1986,career team history,True,False,debut
1986,1985–86,76804,George Gervin,0028500007,1985-10-25,CHI vs. CLE,CLE,W,16.0,4,2,8.0,0.0,0.0,0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,1.0,3.0,,1.0999999999999996,25.0,https://www.nba.com/stats/players/boxscores-traditional?Season=1985-86&SeasonType=Regular%20Season&TeamID=1610612741,1985-10-25,CHI vs. CLE,W,116,,1980s,1977,1986,career team history,True,False,debut
1986,1985–86,77547,Billy McKinney,0028500014,1985-10-26,CHI vs. DET,DET,W,6.0,0,0,3.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,,-1.0999999999999996,0.0,https://www.nba.com/stats/players/boxscores-traditional?Season=1985-86&SeasonType=Regular%20Season&TeamID=1610612741,1985-10-26,CHI vs. DET,W,121,,1980s,1979,1986,career team history,True,False,debut
1986,1985–86,77820,John Paxson,0028500039,1985-10-31,CHI @ LAC,LAC,L,14.0,2,1,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,,3.6999999999999997,100.0,https://www.nba.com/stats/players/boxscores-traditional?Season=1985-86&SeasonType=Regular%20Season&TeamID=1610612741,1985-10-31,CHI @ LAC,L,112,,1980s,1984,1986,entered NBA 1983-84 or later,True,False,debut
