season_end_year,PLAYER_ID,official,attributed,difference
2014,202710,175,175,0
2014,203104,28,28,0
2014,203129,2,2,0
2014,203503,68,68,0
2014,203513,2,2,0
2015,1737,3,3,0
2015,2200,210,210,0
2015,2399,114,114,0
2015,2550,148,148,0
2015,201149,312,312,0
2015,201166,261,261,0
2015,201565,251,251,0
2015,201959,71,71,0
2015,202703,97,97,0
2015,202710,212,212,0
2015,202734,33,33,0
2015,203503,62,62,0
2015,203926,6,6,0
2015,203946,1,1,0
2016,2200,294,294,0
2016,2399,39,39,0
2016,2550,59,59,0
2016,201149,110,110,0
2016,201166,180,180,0
2016,201565,311,311,0
2016,201959,106,106,0
2016,202703,100,100,0
2016,202710,321,321,0
2016,202734,99,99,0
2016,203200,45,45,0
2016,203503,63,63,0
2016,203926,59,59,0
2016,203946,6,6,0
2016,1626171,52,52,0
2016,1626245,26,26,0
2017,2548,228,228,0
2017,200765,461,461,0
2017,201577,80,80,0
2017,201627,6,6,0
2017,201959,60,60,0
2017,202703,75,75,0
2017,202710,417,417,0
2017,203477,37,37,0
2017,203487,113,113,0
2017,203530,19,19,0
2017,203926,45,45,0
2017,1626154,0,0,0
2017,1626166,15,15,0
2017,1626170,121,121,0
2017,1626171,35,35,0
2017,1626245,40,40,0
2017,1627756,63,63,0
2017,1627835,36,36,0
2018,201577,124,124,0
2018,201600,1,1,0
2018,202347,9,9,0
2018,202703,39,39,0
2018,203200,153,153,0
2018,203897,72,72,0
2018,203930,13,13,0
2018,203943,21,21,0
2018,204067,0,0,0
2018,1626166,113,113,0
2018,1626170,342,342,0
2018,1626171,123,123,0
2018,1626245,55,55,0
2018,1627739,310,310,0
2018,1627756,244,244,0
2018,1627770,20,20,0
2018,1627835,46,46,0
2018,1627853,35,35,0
2018,1628021,104,104,0
2018,1628374,79,79,0
2018,1628469,20,20,0
2019,201577,89,89,0
2019,203200,85,85,0
2019,203490,40,40,0
2019,203897,283,283,0
2019,203953,84,84,0
2019,203960,4,4,0
2019,1626166,83,83,0
2019,1626171,29,29,0
2019,1626245,37,37,0
2019,1627215,30,30,0
2019,1627739,277,277,0
2019,1627755,0,0,0
2019,1627782,73,73,0
2019,1627789,22,22,0
2019,1627853,269,269,0
2019,1627885,139,139,0
2019,1628374,75,75,0
2019,1628469,42,42,0
2019,1628959,13,13,0
2019,1628976,78,78,0
2019,1628990,34,34,0
2019,1629102,10,10,0
2020,201152,117,117,0
2020,203107,354,354,0
2020,203490,25,25,0
2020,203897,254,254,0
2020,1626245,16,16,0
2020,1627739,173,173,0
2020,1627756,43,43,0
2020,1627853,96,96,0
2020,1627885,49,49,0
