SEASON,PLAYER_ID,PLAYER_NAME,GP,TOTAL_FGA,FGA,FGM,OTHER_FGA,FGA_SHARE,ATT_G,FG_PCT,PPS,EXCLUDED_HEAVES,RANK
2019-20,1628976,Wendell Carter Jr.,43,343,17,6,326,0.04956268221574344,0.3953488372093023,0.35294117647058826,0.7058823529411765,0,98
2025-26,1630171,Isaac Okoro,63,459,21,6,438,0.0457516339869281,0.3333333333333333,0.2857142857142857,0.5714285714285714,0,98
2025-26,1642950,Lachlan Olbrich,37,77,5,5,72,0.06493506493506493,0.13513513513513514,1.0,2.0,0,104
2023-24,1641931,Onuralp Bitim,23,84,8,5,76,0.09523809523809523,0.34782608695652173,0.625,1.25,0,104
2021-22,1628396,Tony Bradley,55,123,8,5,115,0.06504065040650407,0.14545454545454545,0.625,1.25,0,104
2025-26,1630188,Jalen Smith,53,404,9,5,395,0.022277227722772276,0.16981132075471697,0.5555555555555556,1.1111111111111112,0,104
2023-24,1628470,Torrey Craig,53,251,10,5,241,0.0398406374501992,0.18867924528301888,0.5,1.0,1,104
2023-24,1631207,Dalen Terry,59,157,10,5,147,0.06369426751592357,0.1694915254237288,0.5,1.0,0,104
2019-20,1628436,Luke Kornet,36,187,13,5,174,0.06951871657754011,0.3611111111111111,0.38461538461538464,0.7692307692307693,0,104
2021-22,1628972,Troy Brown Jr.,66,258,16,5,242,0.06201550387596899,0.24242424242424243,0.3125,0.625,0,104
2022-23,201609,Goran Dragic,51,299,18,5,281,0.06020066889632107,0.35294117647058826,0.2777777777777778,0.5555555555555556,0,104
2019-20,203897,Zach LaVine,60,1199,22,5,1177,0.01834862385321101,0.36666666666666664,0.22727272727272727,0.45454545454545453,0,104
2024-25,1628975,Jevon Carter,36,146,4,4,142,0.0273972602739726,0.1111111111111111,1.0,2.0,0,114
2025-26,1629014,Anfernee Simons,6,80,6,4,74,0.075,1.0,0.6666666666666666,1.3333333333333333,0,114
2016-17,201577,Robin Lopez,81,775,6,4,769,0.007741935483870968,0.07407407407407407,0.6666666666666666,1.3333333333333333,0,114
2016-17,1626166,Cameron Payne,11,63,6,4,57,0.09523809523809523,0.5454545454545454,0.6666666666666666,1.3333333333333333,0,114
2025-26,1628380,Zach Collins,10,64,8,4,56,0.125,0.8,0.5,1.0,0,114
2020-21,1628464,Daniel Theis,23,178,8,4,170,0.0449438202247191,0.34782608695652173,0.5,1.0,0,114
2021-22,202684,Tristan Thompson,23,92,9,4,83,0.09782608695652174,0.391304347826087,0.4444444444444444,0.8888888888888888,0,114
2020-21,1628976,Wendell Carter Jr.,32,252,12,4,240,0.047619047619047616,0.375,0.3333333333333333,0.6666666666666666,0,114
2024-25,1629659,Talen Horton-Tucker,58,291,14,4,277,0.048109965635738834,0.2413793103448276,0.2857142857142857,0.5714285714285714,0,114
2016-17,1627756,Denzel Valentine,57,288,14,4,274,0.04861111111111111,0.24561403508771928,0.2857142857142857,0.5714285714285714,0,114
