season,season_label,player_id,player_name,games,minutes,points,rebounds,assists,steals,blocks,turnovers,field_goal_attempts,free_throw_attempts,net_rating
2001,2000-01,1864,Steve Goodrich,12,131.85166666666666,19,21,6,2,1,8,18,7,-3.3
2001,2000-01,2031,Stromile Swift,80,1313.22,391,284,28,62,82,64,339,141,-5.3
2001,2000-01,2121,Terrance Roberson,3,12.316666666666666,0,1,1,0,0,2,2,0,-23.1
2001,2000-01,1917,Wang Zhi-zhi,5,38.805,24,7,0,0,0,1,19,10,-32.4
2001,2000-01,1985,Zendon Hamilton,3,19.1,9,8,0,0,0,2,9,8,-20.6
2002,2001-02,2228,Alton Ford,53,449.705,164,107,7,6,7,32,118,57,-10.6
2002,2001-02,2264,Alvin Jones,23,124.57333333333334,26,36,3,3,9,11,20,20,-4.4
2002,2001-02,1905,Andrei Kirilenko,82,2153.6133333333332,880,402,94,116,159,108,633,371,8.1
2002,2001-02,1738,Ansu Sesay,9,141.07666666666665,58,20,8,3,2,2,44,20,-10.6
2002,2001-02,2238,Antonis Fotsis,28,317.35,108,62,10,9,11,21,104,20,-5.7
2002,2001-02,2250,Bobby Simmons,30,339.69666666666666,112,52,17,13,5,14,95,30,0.8
2002,2001-02,2220,Brandon Armstrong,35,194.78833333333333,64,16,8,7,1,8,85,10,-10.1
2002,2001-02,2217,Brendan Haywood,62,1266.54,315,322,29,21,91,50,221,160,-2.0
2002,2001-02,2243,Brian Scalabrine,28,291.41333333333336,60,51,21,9,2,24,67,15,1.9
2002,2001-02,2306,Carlos Arroyo,37,369.93833333333333,111,40,70,11,1,23,111,18,-5.0
2002,2001-02,2294,Charlie Bell,7,41.99166666666667,8,5,2,0,0,5,11,2,-25.4
2002,2001-02,2365,Chris Andersen,24,260.65833333333336,72,76,7,7,28,13,74,28,7.4
2002,2001-02,2245,Damone Brown,17,63.785,23,4,2,1,1,9,21,8,-9.2
2002,2001-02,2205,DeSagana Diop,18,109.49833333333333,25,17,5,1,10,12,29,5,-2.3
2002,2001-02,2352,Dean Oliver,20,138.97,42,8,21,3,0,11,46,9,-12.2
2002,2001-02,2248,Earl Watson,64,965.3983333333333,231,83,125,60,5,51,212,36,2.9
2002,2001-02,2204,Eddie Griffin,73,1895.4766666666667,642,416,53,17,134,47,666,86,-4.6
2002,2001-02,2201,Eddy Curry,72,1150.7783333333334,483,272,25,16,53,69,377,160,-10.6
2002,2001-02,2081,Ernest Brown,3,21.43,3,6,0,0,1,3,6,4,-55.1
2002,2001-02,2041,Etan Thomas,47,620.485,203,181,6,17,35,26,151,74,1.3
2002,2001-02,2222,Gerald Wallace,54,431.71666666666664,173,89,27,19,6,22,175,46,-0.1
2002,2001-02,2240,Gilbert Arenas,47,1152.145,511,132,174,69,11,97,384,160,-5.3
2002,2001-02,1829,Ike Fontaine,6,76.005,11,5,4,0,0,4,14,6,-37.5
2002,2001-02,2224,Jamaal Tinsley,80,2443.415,751,298,647,138,40,270,760,186,1.1
2002,2001-02,2249,Jamison Brewer,13,41.43333333333333,4,8,9,2,0,3,5,0,5.8
2002,2001-02,2260,Jarron Collins,70,1444.6616666666666,450,296,58,29,22,56,343,181,2.3
2002,2001-02,2215,Jason Collins,77,1403.1083333333333,350,301,81,29,47,72,278,164,4.0
2002,2001-02,2202,Jason Richardson,80,2627.845,1151,340,236,106,31,160,1090,210,-5.1
2002,2001-02,2244,Jeff Trepagnier,12,76.11,18,12,12,8,4,11,23,7,9.1
2002,2001-02,2219,Jeryl Sasser,7,34.211666666666666,10,7,2,3,0,2,14,5,-19.9
2002,2001-02,2343,Joe Crispin,21,154.45833333333334,79,11,26,5,0,10,68,13,-4.2
2002,2001-02,2207,Joe Johnson,77,1916.7366666666667,581,257,179,59,20,71,584,53,-0.2
2002,2001-02,2218,Joseph Forte,8,38.028333333333336,6,6,6,2,0,3,12,4,-19.0
2002,2001-02,2208,Kedrick Brown,29,245.14166666666668,63,50,15,18,7,7,70,20,0.5
2002,2001-02,2261,Kenny Satterfield,36,559.8583333333333,189,52,108,31,1,53,199,46,-4.8
2002,2001-02,2213,Kirk Haston,15,77.25,26,20,5,0,1,3,39,8,-8.9
