season,season_label,player_id,player_name,games,minutes,points,rebounds,assists,steals,blocks,turnovers,field_goal_attempts,free_throw_attempts,possessions,net_rating
2021,2020-21,1629653,Devon Dotson,11,50.21333333333333,23,5,7,4,0,0,21,0,113,21.7
2021,2020-21,1630172,Patrick Williams,71,1983.3566666666666,655,327,99,64,46,98,528,125,4151,-7.1
2022,2021-22,1630245,Ayo Dosunmu,77,2109.641666666667,679,214,256,60,29,108,535,78,4418,-5.0
2022,2021-22,1630644,Mac McClung,1,2.55,2,0,0,0,0,1,1,0,6,-14.3
2022,2021-22,1630792,Malcolm Hill,16,166.24,55,29,7,3,2,3,44,10,360,-11.7
2022,2021-22,1630250,Marko Simonovic,9,35.185,17,10,0,1,1,2,15,11,74,1.2
2023,2022-23,1631207,Dalen Terry,38,213.945,85,37,22,11,5,8,72,21,456,3.3
2024,2023-24,1641766,Adama Sanogo,9,65.76166666666667,36,36,0,1,0,5,27,12,144,21.7
2024,2023-24,1641847,Andrew Funk,5,13.4,0,0,0,1,1,0,4,0,29,17.0
2024,2023-24,1630929,Henri Drell,4,29.916666666666668,11,4,4,2,1,2,10,2,68,7.2
2024,2023-24,1641763,Julian Phillips,40,322.55,89,36,13,7,7,10,77,19,675,0.4
2024,2023-24,1641931,Onuralp Bitim,23,267.9916666666667,80,32,13,3,2,10,84,5,559,-8.5
2025,2024-25,1641801,Emanuel Miller,6,24.733333333333334,10,8,2,1,0,0,8,2,54,-10.0
2025,2024-25,1642443,Jahmir Young,6,29.666666666666668,11,3,6,0,0,1,5,2,70,-13.5
2025,2024-25,1641824,Matas Buzelis,80,1511.295,688,278,79,29,75,74,555,108,3328,-1.7
2026,2025-26,1642950,Lachlan Olbrich,37,344.2216666666667,89,112,42,12,8,16,77,40,763,2.3
2026,2025-26,1642855,Noa Essengue,2,6.033333333333333,0,0,0,1,0,0,3,0,15,-111.4
