season_end_year,season,player_id,player,game_id,game_date,matchup,opponent,result,minutes,points,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,tov,pf,plus_minus,game_score,ts_pct,player_source_url,team_game_date,team_matchup,team_result,team_points,team_plus_minus,decade,pool,context_note,overtime_periods
2005,2004–05,2768,Chris Duhon,0020400290,2004-12-11,CHI vs. MIN,MIN,W,16.95,5,2,5,1,3,0,2,1,1,2,3,0,0,1,2,10,2.8,42.51700680272109,https://www.nba.com/stats/players/boxscores-traditional?Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,2004-12-11,CHI vs. MIN,W,99,11,2000s,Regular season,,0
2005,2004–05,2736,Luol Deng,0020400281,2004-12-10,CHI vs. PHI,PHI,L,32.56666666666667,17,7,15,1,5,2,2,0,5,5,3,1,1,1,2,-1,12.799999999999999,53.5264483627204,https://www.nba.com/stats/players/boxscores-traditional?Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,2004-12-10,CHI vs. PHI,L,88,-5,2000s,Regular season,,0
2005,2004–05,2768,Chris Duhon,0020400281,2004-12-10,CHI vs. PHI,PHI,L,30.2,5,2,6,1,3,0,0,1,2,3,6,1,0,2,3,-22,4.8999999999999995,41.66666666666667,https://www.nba.com/stats/players/boxscores-traditional?Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,2004-12-10,CHI vs. PHI,L,88,-5,2000s,Regular season,,0
2005,2004–05,2804,Andres Nocioni,0020400281,2004-12-10,CHI vs. PHI,PHI,L,15.766666666666667,7,2,10,0,1,3,4,3,0,3,0,1,0,1,2,-4,1.6999999999999993,29.761904761904763,https://www.nba.com/stats/players/boxscores-traditional?Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,2004-12-10,CHI vs. PHI,L,88,-5,2000s,Regular season,,0
2005,2004–05,2732,Ben Gordon,0020400281,2004-12-10,CHI vs. PHI,PHI,L,14.183333333333334,4,1,5,1,4,1,2,0,1,1,1,0,0,2,2,-4,-1.2999999999999998,34.01360544217687,https://www.nba.com/stats/players/boxscores-traditional?Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,2004-12-10,CHI vs. PHI,L,88,-5,2000s,Regular season,,0
2005,2004–05,2732,Ben Gordon,0020400269,2004-12-08,CHI vs. CLE,CLE,W,31.273333333333333,21,8,12,1,1,4,4,0,3,3,1,1,0,1,2,14,16.599999999999998,76.30813953488372,https://www.nba.com/stats/players/boxscores-traditional?Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,2004-12-08,CHI vs. CLE,W,113,28,2000s,Regular season,,0
2005,2004–05,2804,Andres Nocioni,0020400269,2004-12-08,CHI vs. CLE,CLE,W,18.966666666666665,15,3,4,1,2,8,8,0,6,6,2,1,0,3,2,19,13.799999999999997,99.7340425531915,https://www.nba.com/stats/players/boxscores-traditional?Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,2004-12-08,CHI vs. CLE,W,113,28,2000s,Regular season,,0
2005,2004–05,2768,Chris Duhon,0020400269,2004-12-08,CHI vs. CLE,CLE,W,25.8,6,2,2,2,2,0,0,0,2,2,8,1,0,3,3,33,8.399999999999999,150.0,https://www.nba.com/stats/players/boxscores-traditional?Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,2004-12-08,CHI vs. CLE,W,113,28,2000s,Regular season,,0
2005,2004–05,2736,Luol Deng,0020400269,2004-12-08,CHI vs. CLE,CLE,W,28.993333333333332,8,3,10,0,1,2,2,0,1,1,3,0,1,1,2,16,3.499999999999999,36.764705882352935,https://www.nba.com/stats/players/boxscores-traditional?Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,2004-12-08,CHI vs. CLE,W,113,28,2000s,Regular season,,0
2005,2004–05,2736,Luol Deng,0020400250,2004-12-06,CHI vs. SAS,SAS,L,26.106666666666666,13,6,12,0,1,1,1,0,4,4,0,1,0,2,0,-11,7.200000000000001,52.2508038585209,https://www.nba.com/stats/players/boxscores-traditional?Season=2004-05&SeasonType=Regular%20Season&TeamID=1610612741,2004-12-06,CHI vs. SAS,L,75,-16,2000s,Regular season,,0
