personId,firstName,familyName,teamId,teamTricode,minutes,fieldGoalsAttempted,threePointersAttempted
1642964,Brooks,Barnhizer,1610612760,OKC,29:20,12,3
1631205,Buddy,Boeheim,1610612760,OKC,16:25,5,3
1643530,Aday,Mara,1610612760,OKC,25:17,6,0
1643717,Josh,Dix,1610612760,OKC,26:16,10,7
1642892,Bennett,Stirtz,1610612760,OKC,29:39,16,8
1642362,Payton,Sandfort,1610612760,OKC,26:31,18,8
27919,Nate,Johnson,1610612760,OKC,15:44,4,1
1643208,Anthony,Pritchard,1610612760,OKC,23:43,3,0
1643566,Lamar,Wilkerson,1610612760,OKC,6:52,0,0
27918,Andrew,Holifield,1610612760,OKC,0:16,0,0
1642925,Jabri,Abdur-Rahim,1610612760,OKC,,0,0
27916,Sam,Alexis,1610612760,OKC,,0,0
1643094,Steven,Ashworth,1610612760,OKC,,0,0
27917,Bryce,Harris,1610612760,OKC,,0,0
27920,Elijah,Mahi,1610612760,OKC,,0,0
1643754,Christoph,Tilly,1610612760,OKC,,0,0
1643624,Bryce,Hopkins,1610612743,DEN,26:09,14,3
1642350,Trevon,Brazile,1610612743,DEN,26:32,19,12
1643757,Giovanni,Emejuru,1610612743,DEN,12:55,2,0
1641907,Erik,Stevenson,1610612743,DEN,26:51,11,7
1641813,Mark,Sears,1610612743,DEN,22:57,9,4
1642563,Osayi,Osifo,1610612743,DEN,12:37,4,1
1643635,Aaron,Nkrumah,1610612743,DEN,18:09,6,5
1641802,Matthew,Murrell,1610612743,DEN,16:50,3,0
1630186,Jahmi'us,Ramsey,1610612743,DEN,19:03,5,3
1630610,DeJon,Jarreau,1610612743,DEN,17:57,5,2
1631285,Efe,Abogidi,1610612743,DEN,,0,0
1641569,EJ,Anosike,1610612743,DEN,,0,0
1643106,TJ,Bamba,1610612743,DEN,,0,0
27922,Rylan,Griffen,1610612743,DEN,,0,0
1641746,Coleman,Hawkins,1610612743,DEN,,0,0
1643574,Mark,Mitchell Jr.,1610612743,DEN,,0,0
