personId,firstName,familyName,teamId,teamTricode,minutes,fieldGoalsAttempted,threePointersAttempted
1642924,Brice,Williams,1610612765,DET,31:59,13,6
1642403,Isaac,Jones,1610612765,DET,29:47,14,3
1642391,Ugonna,Onyenso,1610612765,DET,14:47,5,2
1642404,Chaz,Lanier,1610612765,DET,30:56,12,9
1643536,Ebuka,Okorie,1610612765,DET,30:38,17,6
1643080,Steven,Crowl,1610612765,DET,11:19,2,0
27908,Drake,Allen,1610612765,DET,26:34,4,2
1643550,Roddy,Gayle Jr.,1610612765,DET,11:56,2,1
1643623,Jaden,Henley,1610612765,DET,8:07,5,0
27909,Latavious,Mitchell,1610612765,DET,3:57,3,0
1643218,Basheer,Jihad,1610612765,DET,,0,0
1643654,Corey,Stephenson,1610612765,DET,,0,0
27910,Orlando,Thomas,1610612765,DET,,0,0
1643520,Koa,Peat,1610612756,PHX,26:51,13,1
1642853,Rasheer,Fleming,1610612756,PHX,27:22,12,6
1642863,Khaman,Maluach,1610612756,PHX,27:57,13,5
1642886,Koby,Brea,1610612756,PHX,26:21,6,3
1642468,Darius,Brown II,1610612756,PHX,22:38,4,1
27932,Sam,Hoiberg,1610612756,PHX,9:57,2,2
1643651,Reed,Bailey,1610612756,PHX,2:44,0,0
1642392,Jameer,Nelson Jr.,1610612756,PHX,11:46,4,0
1631451,Javonte,Cooke,1610612756,PHX,23:46,9,6
27933,Corey,Camper Jr.,1610612756,PHX,13:39,4,3
1643653,Devin,Askew,1610612756,PHX,6:59,1,1
27931,Barry,Evans,1610612756,PHX,,0,0
1643649,Tramon,Mark,1610612756,PHX,,0,0
1641868,Jake,Stephens,1610612756,PHX,,0,0
