personId,firstName,familyName,teamId,teamTricode,minutes,fieldGoalsAttempted,threePointersAttempted
1641765,Olivier-Maxence,Prosper,1610612763,MEM,25:22,14,9
1643409,Cameron,Boozer,1610612763,MEM,29:03,17,8
1641707,Taylor,Hendricks,1610612763,MEM,29:01,12,8
1642907,Cedric,Coward,1610612763,MEM,27:23,23,9
1642914,Javon,Small,1610612763,MEM,28:59,6,5
1631174,Tyler,Burton,1610612763,MEM,11:01,6,3
1643133,Lawson,Lovering,1610612763,MEM,15:38,2,0
1642942,Jahmai,Mashack,1610612763,MEM,19:09,3,0
1643721,Carson,Cooper,1610612763,MEM,14:24,3,0
1643722,Brendan,Hausen,1610612763,MEM,,0,0
1643720,Jestin,Porter,1610612763,MEM,,0,0
1643652,Jevon,Porter,1610612763,MEM,,0,0
1643585,Vsevolod,Ishchenko,1610612742,DAL,31:59,7,0
1643588,Tobi,Lawal,1610612742,DAL,16:30,3,0
1643679,Jorge,Diaz Graham,1610612742,DAL,28:37,10,6
1643547,Sergio,De Larrea,1610612742,DAL,29:50,7,5
1642967,John,Poulakidas,1610612742,DAL,23:42,4,4
1643076,Kaodirichi,Akobundu-Ehiogu,1610612742,DAL,22:02,8,0
1630531,Jaden,Springer,1610612742,DAL,20:48,10,2
1642432,Darin,Green Jr.,1610612742,DAL,23:55,10,9
1643678,Guillermo,Diaz Graham,1610612742,DAL,2:38,0,0
1642512,Lucas,Dufeal,1610612742,DAL,,0,0
1643025,Ja'Vier,Francis,1610612742,DAL,,0,0
1641890,Tyler,Smith,1610612742,DAL,,0,0
