personId,firstName,familyName,teamId,teamTricode,minutes,fieldGoalsAttempted,threePointersAttempted
1642396,Blake,Hinson,1610612762,UTA,16:48,8,5
1642915,Eric,Dixon,1610612762,UTA,26:25,11,6
1643265,Jonas,Aidoo,1610612762,UTA,21:43,8,1
1642640,Justin,Harmon,1610612762,UTA,24:37,7,2
1630546,Max,Abmas,1610612762,UTA,20:57,13,6
1642888,Matt,Cleveland,1610612762,UTA,25:08,9,4
1643629,Jaxon,Kohler,1610612762,UTA,18:17,4,0
1643016,Bez,Mbeng,1610612762,UTA,20:03,5,1
1643060,Hayden,Gray,1610612762,UTA,20:12,6,2
27895,Micah,Handlogten,1610612762,UTA,5:50,2,0
1641725,Trey,Alexander,1610612762,UTA,,0,0
1642846,Ace,Bailey,1610612762,UTA,,0,0
1642926,Tamar,Bates,1610612762,UTA,,0,0
1630283,Kylor,Kelley,1610612762,UTA,,0,0
1643408,Darryn,Peterson,1610612762,UTA,,0,0
27896,Mohamed,Wague,1610612762,UTA,,0,0
1642262,Cody,Williams,1610612762,UTA,,0,0
1642964,Brooks,Barnhizer,1610612760,OKC,21:22,12,1
1642362,Payton,Sandfort,1610612760,OKC,19:21,9,7
1643754,Christoph,Tilly,1610612760,OKC,19:03,5,0
1643717,Josh,Dix,1610612760,OKC,24:26,9,6
1643208,Anthony,Pritchard,1610612760,OKC,25:05,8,1
1643298,Bryce,Thompson,1610612760,OKC,16:59,10,2
1643094,Steven,Ashworth,1610612760,OKC,14:55,5,5
1631205,Buddy,Boeheim,1610612760,OKC,17:24,6,6
27916,Sam,Alexis,1610612760,OKC,9:42,2,0
27919,Nate,Johnson,1610612760,OKC,18:58,4,2
27917,Bryce,Harris,1610612760,OKC,3:11,2,1
27920,Elijah,Mahi,1610612760,OKC,3:11,1,1
27918,Andrew,Holifield,1610612760,OKC,3:11,1,1
1642925,Jabri,Abdur-Rahim,1610612760,OKC,3:11,1,1
1643530,Aday,Mara,1610612760,OKC,,0,0
1642923,Otega,Oweh,1610612760,OKC,,0,0
1642892,Bennett,Stirtz,1610612760,OKC,,0,0
1643566,Lamar,Wilkerson,1610612760,OKC,,0,0
