season,player_id,player_name,gp,drives,drives_per_game,drive_fgm,drive_fga,drive_fg_pct,drive_shot_pct,drive_ftm,drive_fta,drive_points_residual,drive_pts,drive_passes,drive_pass_pct,drive_ast,drive_ast_pct,drive_ast_per_drive,drive_pf,drive_pf_pct
2013-14,2430,Carlos Boozer,76,94,1.236842105263158,33,66,50.0,70.2127659574468,10,16,0,76,9,9.6,3,3.2,0.031914893617021274,8,8.5
2013-14,201571,D.J. Augustin,70,565,8.071428571428571,71,182,39.0,32.21238938053097,28,36,6,176,259,45.800000000000004,68,12.0,0.12035398230088495,19,3.4000000000000004
2013-14,201565,Derrick Rose,10,108,10.8,21,58,36.199999999999996,53.7037037037037,12,12,2,56,27,25.0,7,6.5,0.06481481481481481,6,5.6000000000000005
2013-14,203513,Erik Murphy,24,1,0.041666666666666664,0,1,0.0,100.0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0
2013-14,202690,Jimmer Fredette,49,150,3.061224489795918,32,63,50.8,42.0,8,8,1,73,53,35.3,17,11.3,0.11333333333333333,4,2.7
2013-14,202710,Jimmy Butler,67,273,4.074626865671642,23,68,33.800000000000004,24.90842490842491,60,80,4,110,101,37.0,34,12.5,0.12454212454212454,41,15.0
2013-14,201149,Joakim Noah,80,268,3.35,52,137,38.0,51.11940298507463,28,36,1,133,64,23.9,27,10.100000000000001,0.10074626865671642,19,7.1
2013-14,2550,Kirk Hinrich,73,368,5.041095890410959,43,120,35.8,32.608695652173914,33,42,3,122,147,39.900000000000006,36,9.8,0.09782608695652174,23,6.3
2013-14,200811,Lou Amundson,19,2,0.10526315789473684,0,0,0.0,0.0,0,0,0,0,2,100.0,0,0.0,0.0,0,0.0
2013-14,2399,Mike Dunleavy,82,168,2.048780487804878,32,82,39.0,48.80952380952381,26,34,-2,88,35,20.8,18,10.7,0.10714285714285714,17,10.100000000000001
2013-14,2229,Mike James,11,19,1.7272727272727273,3,8,37.5,42.10526315789474,0,2,0,6,5,26.3,4,21.099999999999998,0.21052631578947367,1,5.3
2013-14,1737,Nazr Mohammed,80,5,0.0625,1,2,50.0,40.0,2,2,0,4,1,20.0,0,0.0,0.0,1,20.0
2013-14,200758,Ronnie Brewer,24,3,0.125,0,1,0.0,33.333333333333336,0,0,0,0,2,66.7,0,0.0,0.0,0,0.0
2013-14,201959,Taj Gibson,82,23,0.2804878048780488,6,14,42.9,60.869565217391305,4,4,0,16,3,13.0,0,0.0,0.0,2,8.7
2013-14,203503,Tony Snell,77,131,1.7012987012987013,28,64,43.8,48.85496183206107,14,20,2,72,31,23.7,19,14.499999999999998,0.1450381679389313,10,7.6
2013-14,203129,Tornike Shengelia,25,31,1.24,7,13,53.800000000000004,41.935483870967744,2,4,0,16,6,19.400000000000002,2,6.5,0.06451612903225806,3,9.700000000000001
2014-15,201166,Aaron Brooks,82,854,10.414634146341463,165,355,46.5,41.569086651053865,63,76,7,400,309,36.199999999999996,76,8.9,0.08899297423887588,40,4.7
2014-15,203946,Cameron Bairstow,18,1,0.05555555555555555,0,0,0.0,0.0,2,2,0,2,0,0.0,0,0.0,0.0,1,100.0
2014-15,201565,Derrick Rose,51,551,10.803921568627452,127,253,50.2,45.91651542649728,46,56,9,309,182,33.0,49,8.9,0.08892921960072596,28,5.1
2014-15,203926,Doug McDermott,36,33,0.9166666666666666,5,20,25.0,60.60606060606061,3,6,0,13,8,24.2,1,3.0,0.030303030303030304,3,9.1
2014-15,202734,E'Twaun Moore,56,98,1.75,29,57,50.9,58.16326530612245,5,8,0,63,24,24.5,6,6.1,0.061224489795918366,4,4.1000000000000005
2014-15,202710,Jimmy Butler,65,431,6.630769230769231,64,153,41.8,35.498839907192576,118,136,9,255,121,28.1,49,11.4,0.1136890951276102,68,15.8
2014-15,201149,Joakim Noah,67,117,1.7462686567164178,18,46,39.1,39.31623931623932,9,18,1,46,37,31.6,11,9.4,0.09401709401709402,9,7.7
2014-15,2550,Kirk Hinrich,66,184,2.787878787878788,32,71,45.1,38.58695652173913,12,16,0,76,65,35.3,20,10.9,0.10869565217391304,8,4.3
2014-15,2399,Mike Dunleavy,63,110,1.746031746031746,17,45,37.8,40.90909090909091,27,30,1,62,29,26.400000000000002,10,9.1,0.09090909090909091,16,14.499999999999998
2014-15,1737,Nazr Mohammed,23,2,0.08695652173913043,1,1,100.0,50.0,0,0,0,2,1,50.0,0,0.0,0.0,0,0.0
2014-15,202703,Nikola Mirotic,82,198,2.4146341463414633,31,71,43.7,35.85858585858586,46,60,4,112,54,27.3,16,8.1,0.08080808080808081,30,15.2
2014-15,2200,Pau Gasol,78,179,2.2948717948717947,41,95,43.2,53.072625698324025,43,48,4,129,34,19.0,10,5.6000000000000005,0.055865921787709494,24,13.4
2014-15,201959,Taj Gibson,62,25,0.4032258064516129,8,15,53.300000000000004,60.0,4,4,0,20,5,20.0,0,0.0,0.0,2,8.0
2014-15,203503,Tony Snell,72,148,2.0555555555555554,37,78,47.4,52.7027027027027,11,12,1,86,44,29.7,10,6.800000000000001,0.06756756756756757,7,4.7
2015-16,201166,Aaron Brooks,69,427,6.188405797101449,91,211,43.1,49.414519906323186,17,24,4,203,128,30.0,34,8.0,0.07962529274004684,12,2.8000000000000003
2015-16,1626171,Bobby Portis Jr.,62,50,0.8064516129032258,9,32,28.1,64.0,2,2,0,20,12,24.0,1,2.0,0.02,1,2.0
2015-16,1626245,Cristiano Felicio,31,5,0.16129032258064516,1,3,33.300000000000004,60.0,0,0,0,2,1,20.0,0,0.0,0.0,0,0.0
2015-16,201565,Derrick Rose,66,892,13.515151515151516,202,432,46.800000000000004,48.4304932735426,58,76,13,475,276,30.9,82,9.2,0.09192825112107623,38,4.3
2015-16,203926,Doug McDermott,81,127,1.5679012345679013,36,93,38.7,73.22834645669292,15,18,0,87,12,9.4,2,1.6,0.015748031496062992,9,7.1
2015-16,202734,E'Twaun Moore,59,247,4.186440677966102,58,126,46.0,51.012145748987855,5,6,3,124,74,30.0,24,9.700000000000001,0.09716599190283401,4,1.6
2015-16,202710,Jimmy Butler,67,706,10.537313432835822,126,258,48.8,36.54390934844193,118,146,12,382,247,35.0,66,9.3,0.09348441926345609,74,10.5
2015-16,201149,Joakim Noah,29,43,1.4827586206896552,6,21,28.599999999999998,48.83720930232558,1,2,0,13,12,27.900000000000002,5,11.600000000000001,0.11627906976744186,1,2.3
2015-16,203200,Justin Holiday,53,86,1.6226415094339623,6,35,17.1,40.69767441860465,13,16,0,25,24,27.900000000000002,13,15.1,0.1511627906976744,8,9.3
2015-16,2399,Mike Dunleavy,31,43,1.3870967741935485,5,22,22.7,51.16279069767442,8,8,2,20,12,27.900000000000002,2,4.7,0.046511627906976744,4,9.3
2015-16,202703,Nikola Mirotic,66,129,1.9545454545454546,16,49,32.7,37.98449612403101,22,30,2,56,29,22.5,9,7.000000000000001,0.06976744186046512,15,11.600000000000001
