season_end_year,season,player_id,player,game_id,game_date,matchup,opponent,result,minutes,points,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,tov,pf,plus_minus,game_score,ts_pct,player_source_url
2018,2017–18,1628374,Lauri Markkanen,0021701224,2018-04-11,CHI vs. DET,DET,L,21.516666666666666,20,7,13,3,7,3,3,2,6,8,1,2,0,0,1,0,19.200000000000003,69.83240223463687,https://www.nba.com/stats/players/boxscores-traditional?Season=2017-18&SeasonType=Regular%20Season&TeamID=1610612741
2018,2017–18,1628021,David Nwaba,0021701224,2018-04-11,CHI vs. DET,DET,L,29.816666666666666,13,5,16,1,3,2,3,2,4,6,2,1,0,3,3,-18,4.2,37.52886836027714,https://www.nba.com/stats/players/boxscores-traditional?Season=2017-18&SeasonType=Regular%20Season&TeamID=1610612741
2018,2017–18,1626166,Cameron Payne,0021701224,2018-04-11,CHI vs. DET,DET,L,33.05,6,2,9,2,3,0,0,0,3,3,9,1,0,2,3,-19,5.499999999999999,33.33333333333333,https://www.nba.com/stats/players/boxscores-traditional?Season=2017-18&SeasonType=Regular%20Season&TeamID=1610612741
2018,2017–18,1626171,Bobby Portis Jr.,0021701224,2018-04-11,CHI vs. DET,DET,L,22.466666666666665,11,5,13,1,5,0,2,1,7,8,0,1,0,3,0,-28,3.9000000000000004,39.62536023054754,https://www.nba.com/stats/players/boxscores-traditional?Season=2017-18&SeasonType=Regular%20Season&TeamID=1610612741
2018,2017–18,203930,Sean Kilpatrick,0021701224,2018-04-11,CHI vs. DET,DET,L,29.066666666666666,14,5,10,2,5,2,2,0,2,2,4,0,0,3,2,-13,8.599999999999998,64.33823529411764,https://www.nba.com/stats/players/boxscores-traditional?Season=2017-18&SeasonType=Regular%20Season&TeamID=1610612741
2018,2017–18,1626245,Cristiano Felicio,0021701224,2018-04-11,CHI vs. DET,DET,L,29.733333333333334,10,3,5,0,0,4,6,5,1,6,1,1,0,1,1,-18,10.999999999999998,65.44502617801047,https://www.nba.com/stats/players/boxscores-traditional?Season=2017-18&SeasonType=Regular%20Season&TeamID=1610612741
2018,2017–18,1626170,Jerian Grant,0021701224,2018-04-11,CHI vs. DET,DET,L,32.18333333333333,10,4,13,1,6,1,2,0,1,1,2,1,0,3,3,-33,0.5999999999999996,36.023054755043226,https://www.nba.com/stats/players/boxscores-traditional?Season=2017-18&SeasonType=Regular%20Season&TeamID=1610612741
2018,2017–18,1627853,Ryan Arcidiacono,0021701224,2018-04-11,CHI vs. DET,DET,L,23.9,3,1,5,1,5,0,0,0,3,3,2,1,0,2,0,-17,1.1999999999999997,30.0,https://www.nba.com/stats/players/boxscores-traditional?Season=2017-18&SeasonType=Regular%20Season&TeamID=1610612741
2018,2017–18,201600,Omer Asik,0021701224,2018-04-11,CHI vs. DET,DET,L,18.266666666666666,0,0,2,0,0,0,0,2,1,3,0,0,1,1,2,-14,-0.8,0.0,https://www.nba.com/stats/players/boxscores-traditional?Season=2017-18&SeasonType=Regular%20Season&TeamID=1610612741
2018,2017–18,1626166,Cameron Payne,0021701205,2018-04-09,CHI @ BKN,BKN,L,24.033333333333335,15,6,10,3,5,0,0,0,3,3,6,2,0,3,3,-11,13.3,75.0,https://www.nba.com/stats/players/boxscores-traditional?Season=2017-18&SeasonType=Regular%20Season&TeamID=1610612741
