game_id,game_date,matchup,result,team_points,team_plus_minus,season_end_year,team_source_url
0029201105,1993-04-25,CHI @ NYK,L,84,,1993,https://www.nba.com/stats/teams/boxscores?Season=1992-93&SeasonType=Regular%20Season&TeamID=1610612741
0029201091,1993-04-23,CHI @ CHH,L,103,,1993,https://www.nba.com/stats/teams/boxscores?Season=1992-93&SeasonType=Regular%20Season&TeamID=1610612741
0029201080,1993-04-22,CHI vs. DET,W,109,,1993,https://www.nba.com/stats/teams/boxscores?Season=1992-93&SeasonType=Regular%20Season&TeamID=1610612741
0029201063,1993-04-20,CHI vs. PHL,W,123,,1993,https://www.nba.com/stats/teams/boxscores?Season=1992-93&SeasonType=Regular%20Season&TeamID=1610612741
0029201050,1993-04-18,CHI @ CLE,L,94,,1993,https://www.nba.com/stats/teams/boxscores?Season=1992-93&SeasonType=Regular%20Season&TeamID=1610612741
0029201040,1993-04-16,CHI vs. MIL,W,119,,1993,https://www.nba.com/stats/teams/boxscores?Season=1992-93&SeasonType=Regular%20Season&TeamID=1610612741
0029201021,1993-04-14,CHI vs. MIA,W,119,,1993,https://www.nba.com/stats/teams/boxscores?Season=1992-93&SeasonType=Regular%20Season&TeamID=1610612741
0029201009,1993-04-12,CHI @ DET,W,98,,1993,https://www.nba.com/stats/teams/boxscores?Season=1992-93&SeasonType=Regular%20Season&TeamID=1610612741
0029201000,1993-04-10,CHI @ IND,W,92,,1993,https://www.nba.com/stats/teams/boxscores?Season=1992-93&SeasonType=Regular%20Season&TeamID=1610612741
0029200988,1993-04-09,CHI @ ATL,W,88,,1993,https://www.nba.com/stats/teams/boxscores?Season=1992-93&SeasonType=Regular%20Season&TeamID=1610612741
0029200965,1993-04-06,CHI @ MIL,L,109,,1993,https://www.nba.com/stats/teams/boxscores?Season=1992-93&SeasonType=Regular%20Season&TeamID=1610612741
0029200961,1993-04-04,CHI @ BOS,W,101,,1993,https://www.nba.com/stats/teams/boxscores?Season=1992-93&SeasonType=Regular%20Season&TeamID=1610612741
0029200944,1993-04-02,CHI vs. NJN,W,118,,1993,https://www.nba.com/stats/teams/boxscores?Season=1992-93&SeasonType=Regular%20Season&TeamID=1610612741
