season_end_year,season,player_id,player,game_id,game_date,matchup,opponent,result,minutes,points,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,tov,pf,plus_minus,game_score,ts_pct,player_source_url
2010,2009–10,201565,Derrick Rose,0020901219,2010-04-14,CHI @ CHA,CHA,W,42.98833333333334,27,10,19,2,4,5,6,2,0,2,5,2,1,5,0,8,19.900000000000002,62.38447319778189,https://www.nba.com/stats/players/boxscores-traditional?Season=2009-10&SeasonType=Regular%20Season&TeamID=1610612741
2010,2009–10,201149,Joakim Noah,0020901219,2010-04-14,CHI @ CHA,CHA,W,37.655,21,7,11,0,0,7,9,3,10,13,4,0,1,5,2,8,18.099999999999998,70.18716577540106,https://www.nba.com/stats/players/boxscores-traditional?Season=2009-10&SeasonType=Regular%20Season&TeamID=1610612741
2010,2009–10,201959,Taj Gibson,0020901219,2010-04-14,CHI @ CHA,CHA,W,33.805,11,4,7,0,0,3,5,7,6,13,0,1,1,0,4,5,13.700000000000001,59.782608695652186,https://www.nba.com/stats/players/boxscores-traditional?Season=2009-10&SeasonType=Regular%20Season&TeamID=1610612741
2010,2009–10,1802,Brad Miller,0020901219,2010-04-14,CHI @ CHA,CHA,W,24.111666666666668,11,4,9,1,4,2,2,1,6,7,1,1,0,0,4,9,8.9,55.66801619433198,https://www.nba.com/stats/players/boxscores-traditional?Season=2009-10&SeasonType=Regular%20Season&TeamID=1610612741
2010,2009–10,2736,Luol Deng,0020901219,2010-04-14,CHI @ CHA,CHA,W,32.25,11,4,10,0,2,3,3,0,1,1,2,2,0,3,4,0,4.699999999999999,48.58657243816255,https://www.nba.com/stats/players/boxscores-traditional?Season=2009-10&SeasonType=Regular%20Season&TeamID=1610612741
2010,2009–10,2550,Kirk Hinrich,0020901219,2010-04-14,CHI @ CHA,CHA,W,34.305,8,3,7,2,4,0,0,0,2,2,3,1,0,3,4,7,3.3999999999999986,57.14285714285714,https://www.nba.com/stats/players/boxscores-traditional?Season=2009-10&SeasonType=Regular%20Season&TeamID=1610612741
2010,2009–10,2436,Flip Murray,0020901219,2010-04-14,CHI @ CHA,CHA,W,23.128333333333334,9,4,11,1,3,0,0,0,2,2,1,0,0,2,1,4,1.8000000000000003,40.909090909090914,https://www.nba.com/stats/players/boxscores-traditional?Season=2009-10&SeasonType=Regular%20Season&TeamID=1610612741
2010,2009–10,201949,James Johnson,0020901219,2010-04-14,CHI @ CHA,CHA,W,6.361666666666666,0,0,2,0,1,0,0,0,0,0,2,0,3,0,2,6,1.2999999999999996,0.0,https://www.nba.com/stats/players/boxscores-traditional?Season=2009-10&SeasonType=Regular%20Season&TeamID=1610612741
2010,2009–10,2457,Jannero Pargo,0020901219,2010-04-14,CHI @ CHA,CHA,W,5.395,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,-2,-0.10000000000000003,0.0,https://www.nba.com/stats/players/boxscores-traditional?Season=2009-10&SeasonType=Regular%20Season&TeamID=1610612741
2010,2009–10,201565,Derrick Rose,0020901213,2010-04-13,CHI vs. BOS,BOS,W,45.583333333333336,39,15,22,0,0,9,10,2,3,5,7,0,3,2,2,12,35.7,73.86363636363636,https://www.nba.com/stats/players/boxscores-traditional?Season=2009-10&SeasonType=Regular%20Season&TeamID=1610612741
2010,2009–10,2550,Kirk Hinrich,0020901213,2010-04-13,CHI vs. BOS,BOS,W,41.53333333333333,30,11,20,4,7,4,5,0,4,4,5,1,0,1,2,5,23.9,67.56756756756756,https://www.nba.com/stats/players/boxscores-traditional?Season=2009-10&SeasonType=Regular%20Season&TeamID=1610612741
2010,2009–10,201149,Joakim Noah,0020901213,2010-04-13,CHI vs. BOS,BOS,W,46.31666666666667,9,3,7,0,0,3,7,3,13,16,2,0,3,2,4,6,9.6,44.642857142857146,https://www.nba.com/stats/players/boxscores-traditional?Season=2009-10&SeasonType=Regular%20Season&TeamID=1610612741
2010,2009–10,2736,Luol Deng,0020901213,2010-04-13,CHI vs. BOS,BOS,W,43.6,7,3,10,1,1,0,2,1,11,12,3,0,0,0,3,15,5.299999999999998,32.16911764705882,https://www.nba.com/stats/players/boxscores-traditional?Season=2009-10&SeasonType=Regular%20Season&TeamID=1610612741
2010,2009–10,1802,Brad Miller,0020901213,2010-04-13,CHI vs. BOS,BOS,W,20.533333333333335,8,4,9,0,2,0,0,3,3,6,3,0,0,2,5,15,4.399999999999999,44.44444444444444,https://www.nba.com/stats/players/boxscores-traditional?Season=2009-10&SeasonType=Regular%20Season&TeamID=1610612741
2010,2009–10,201959,Taj Gibson,0020901213,2010-04-13,CHI vs. BOS,BOS,W,24.2,6,3,8,0,0,0,0,2,2,4,1,0,0,0,4,0,2.7000000000000006,37.5,https://www.nba.com/stats/players/boxscores-traditional?Season=2009-10&SeasonType=Regular%20Season&TeamID=1610612741
2010,2009–10,2457,Jannero Pargo,0020901213,2010-04-13,CHI vs. BOS,BOS,W,8.883333333333333,2,1,3,0,1,0,0,0,0,0,1,0,0,1,0,-1,2.220446049250313e-16,33.33333333333333,https://www.nba.com/stats/players/boxscores-traditional?Season=2009-10&SeasonType=Regular%20Season&TeamID=1610612741
2010,2009–10,101124,Hakim Warrick,0020901213,2010-04-13,CHI vs. BOS,BOS,W,4.95,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,-5,-0.7999999999999999,0.0,https://www.nba.com/stats/players/boxscores-traditional?Season=2009-10&SeasonType=Regular%20Season&TeamID=1610612741
2010,2009–10,2436,Flip Murray,0020901213,2010-04-13,CHI vs. BOS,BOS,W,4.4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,-7,-1.7999999999999998,0.0,https://www.nba.com/stats/players/boxscores-traditional?Season=2009-10&SeasonType=Regular%20Season&TeamID=1610612741
2010,2009–10,201149,Joakim Noah,0020901197,2010-04-11,CHI @ TOR,TOR,W,38.79333333333334,18,7,10,0,0,4,6,4,15,19,7,0,1,1,2,18,24.099999999999998,71.20253164556962,https://www.nba.com/stats/players/boxscores-traditional?Season=2009-10&SeasonType=Regular%20Season&TeamID=1610612741
2010,2009–10,201565,Derrick Rose,0020901197,2010-04-11,CHI @ TOR,TOR,W,37.65,26,12,23,0,3,2,2,1,3,4,7,1,1,1,0,7,21.9,54.43886097152429,https://www.nba.com/stats/players/boxscores-traditional?Season=2009-10&SeasonType=Regular%20Season&TeamID=1610612741
2010,2009–10,2736,Luol Deng,0020901197,2010-04-11,CHI @ TOR,TOR,W,28.0,14,5,10,1,3,3,4,0,7,7,3,0,0,1,1,15,11.399999999999999,59.523809523809526,https://www.nba.com/stats/players/boxscores-traditional?Season=2009-10&SeasonType=Regular%20Season&TeamID=1610612741
2010,2009–10,201959,Taj Gibson,0020901197,2010-04-11,CHI @ TOR,TOR,W,27.873333333333335,11,5,7,0,0,1,2,2,4,6,0,0,2,2,4,9,8.100000000000001,69.79695431472082,https://www.nba.com/stats/players/boxscores-traditional?Season=2009-10&SeasonType=Regular%20Season&TeamID=1610612741
2010,2009–10,2550,Kirk Hinrich,0020901197,2010-04-11,CHI @ TOR,TOR,W,35.99666666666667,6,2,9,2,4,0,0,0,5,5,3,1,1,2,3,11,2.5999999999999996,33.33333333333333,https://www.nba.com/stats/players/boxscores-traditional?Season=2009-10&SeasonType=Regular%20Season&TeamID=1610612741
2010,2009–10,2436,Flip Murray,0020901197,2010-04-11,CHI @ TOR,TOR,W,25.92,10,4,9,0,2,2,2,0,4,4,3,0,0,0,0,3,8.6,50.607287449392715,https://www.nba.com/stats/players/boxscores-traditional?Season=2009-10&SeasonType=Regular%20Season&TeamID=1610612741
2010,2009–10,101124,Hakim Warrick,0020901197,2010-04-11,CHI @ TOR,TOR,W,16.0,10,3,6,0,0,4,6,1,1,2,0,0,1,1,1,2,6.5,57.870370370370374,https://www.nba.com/stats/players/boxscores-traditional?Season=2009-10&SeasonType=Regular%20Season&TeamID=1610612741
2010,2009–10,2457,Jannero Pargo,0020901197,2010-04-11,CHI @ TOR,TOR,W,20.216666666666665,4,2,8,0,2,0,0,1,1,2,2,1,0,0,2,11,1.8,25.0,https://www.nba.com/stats/players/boxscores-traditional?Season=2009-10&SeasonType=Regular%20Season&TeamID=1610612741
2010,2009–10,1802,Brad Miller,0020901197,2010-04-11,CHI @ TOR,TOR,W,7.766666666666667,5,2,3,0,1,1,1,0,0,0,1,0,0,2,1,4,2.0,72.67441860465115,https://www.nba.com/stats/players/boxscores-traditional?Season=2009-10&SeasonType=Regular%20Season&TeamID=1610612741
2010,2009–10,201181,Chris Richard,0020901197,2010-04-11,CHI @ TOR,TOR,W,1.7833333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,https://www.nba.com/stats/players/boxscores-traditional?Season=2009-10&SeasonType=Regular%20Season&TeamID=1610612741
2010,2009–10,1802,Brad Miller,0020901181,2010-04-09,CHI @ NJN,NJN,L,42.91,27,9,16,2,6,7,10,1,9,10,3,1,3,1,3,-11,24.600000000000005,66.1764705882353,https://www.nba.com/stats/players/boxscores-traditional?Season=2009-10&SeasonType=Regular%20Season&TeamID=1610612741
2010,2009–10,201565,Derrick Rose,0020901181,2010-04-09,CHI @ NJN,NJN,L,47.733333333333334,25,9,19,0,1,7,12,0,6,6,6,0,0,7,6,-4,9.899999999999999,51.4827018121911,https://www.nba.com/stats/players/boxscores-traditional?Season=2009-10&SeasonType=Regular%20Season&TeamID=1610612741
2010,2009–10,2550,Kirk Hinrich,0020901181,2010-04-09,CHI @ NJN,NJN,L,47.2,13,5,11,3,7,0,0,1,8,9,9,1,0,2,4,-5,14.099999999999998,59.09090909090909,https://www.nba.com/stats/players/boxscores-traditional?Season=2009-10&SeasonType=Regular%20Season&TeamID=1610612741
2010,2009–10,201149,Joakim Noah,0020901181,2010-04-09,CHI @ NJN,NJN,L,35.855,16,7,10,0,0,2,2,2,7,9,1,0,4,2,4,6,15.2,73.52941176470587,https://www.nba.com/stats/players/boxscores-traditional?Season=2009-10&SeasonType=Regular%20Season&TeamID=1610612741
2010,2009–10,2736,Luol Deng,0020901181,2010-04-09,CHI @ NJN,NJN,L,47.78333333333333,19,7,13,3,4,2,3,2,2,4,3,1,0,1,4,-5,14.799999999999999,66.34078212290503,https://www.nba.com/stats/players/boxscores-traditional?Season=2009-10&SeasonType=Regular%20Season&TeamID=1610612741
2010,2009–10,201959,Taj Gibson,0020901181,2010-04-09,CHI @ NJN,NJN,L,36.99,6,3,10,0,0,0,0,2,7,9,0,0,2,2,3,-16,1.8999999999999995,30.0,https://www.nba.com/stats/players/boxscores-traditional?Season=2009-10&SeasonType=Regular%20Season&TeamID=1610612741
2010,2009–10,2457,Jannero Pargo,0020901181,2010-04-09,CHI @ NJN,NJN,L,13.561666666666667,5,2,4,1,1,0,0,1,2,3,1,0,0,1,1,-11,3.5999999999999996,62.5,https://www.nba.com/stats/players/boxscores-traditional?Season=2009-10&SeasonType=Regular%20Season&TeamID=1610612741
2010,2009–10,2436,Flip Murray,0020901181,2010-04-09,CHI @ NJN,NJN,L,13.95,3,1,8,0,5,1,2,0,1,1,2,0,0,1,0,-3,-1.9,16.89189189189189,https://www.nba.com/stats/players/boxscores-traditional?Season=2009-10&SeasonType=Regular%20Season&TeamID=1610612741
2010,2009–10,101124,Hakim Warrick,0020901181,2010-04-09,CHI @ NJN,NJN,L,4.016666666666667,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,-6,1.2999999999999998,100.0,https://www.nba.com/stats/players/boxscores-traditional?Season=2009-10&SeasonType=Regular%20Season&TeamID=1610612741
2010,2009–10,201149,Joakim Noah,0020901171,2010-04-08,CHI vs. CLE,CLE,W,33.63333333333333,17,8,14,0,0,1,1,5,10,15,4,0,4,1,2,6,20.7,58.86426592797784,https://www.nba.com/stats/players/boxscores-traditional?Season=2009-10&SeasonType=Regular%20Season&TeamID=1610612741
