season_end_year,season,player_id,player,game_id,game_date,matchup,opponent,result,minutes,points,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,tov,pf,plus_minus,game_score,ts_pct,player_source_url
1987,1986–87,9,Sedale Threatt,0028600921,1987-04-16,CHI vs. ATL,ATL,L,18,8,4,6.0,0.0,0.0,0,0.0,1.0,0.0,1.0,8.0,1.0,0.0,0.0,3.0,,11.5,66.66666666666666,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741
1987,1986–87,1479,Mike Brown,0028600921,1987-04-16,CHI vs. ATL,ATL,L,13,0,0,1.0,0.0,0.0,0,0.0,0.0,3.0,3.0,1.0,1.0,1.0,0.0,4.0,,0.9999999999999996,0.0,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741
1987,1986–87,78110,Brad Sellers,0028600921,1987-04-16,CHI vs. ATL,ATL,L,26,10,5,8.0,0.0,0.0,0,0.0,2.0,1.0,3.0,2.0,0.0,4.0,0.0,3.0,,11.100000000000001,62.5,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741
1987,1986–87,77820,John Paxson,0028600921,1987-04-16,CHI vs. ATL,ATL,L,36,6,3,6.0,0.0,1.0,0,0.0,0.0,3.0,3.0,14.0,0.0,0.0,0.0,4.0,,12.1,50.0,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741
1987,1986–87,893,Michael Jordan,0028600903,1987-04-13,CHI @ MIL,MIL,W,41,50,16,31.0,0.0,1.0,18,22.0,1.0,8.0,9.0,4.0,4.0,3.0,1.0,5.0,,42.1,61.455260570304816,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741
1987,1986–87,891,Charles Oakley,0028600903,1987-04-13,CHI @ MIL,MIL,W,38,22,11,14.0,0.0,0.0,0,3.0,8.0,11.0,19.0,4.0,1.0,1.0,3.0,3.0,,24.6,71.80156657963447,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741
1987,1986–87,76453,Dave Corzine,0028600903,1987-04-13,CHI @ MIL,MIL,W,31,6,3,9.0,0.0,0.0,0,0.0,0.0,3.0,3.0,4.0,0.0,3.0,2.0,1.0,,4.299999999999999,33.33333333333333,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741
1987,1986–87,78430,Granville Waiters,0028600903,1987-04-13,CHI @ MIL,MIL,W,1,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,-0.4,0.0,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741
1987,1986–87,78378,Elston Turner,0028600903,1987-04-13,CHI @ MIL,MIL,W,38,14,7,9.0,0.0,0.0,0,0.0,2.0,4.0,6.0,4.0,0.0,0.0,1.0,2.0,,14.099999999999998,77.77777777777779,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741
1987,1986–87,78110,Brad Sellers,0028600903,1987-04-13,CHI @ MIL,MIL,W,25,14,7,15.0,0.0,0.0,0,0.0,4.0,4.0,8.0,0.0,1.0,3.0,1.0,1.0,,12.0,46.666666666666664,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741
1987,1986–87,1479,Mike Brown,0028600903,1987-04-13,CHI @ MIL,MIL,W,6,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,-0.4,0.0,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741
1987,1986–87,77820,John Paxson,0028600903,1987-04-13,CHI @ MIL,MIL,W,31,2,1,7.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,3.0,,-1.1999999999999997,14.285714285714285,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741
1987,1986–87,76093,Gene Banks,0028600903,1987-04-13,CHI @ MIL,MIL,W,5,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.7,0.0,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741
1987,1986–87,9,Sedale Threatt,0028600903,1987-04-13,CHI @ MIL,MIL,W,24,6,2,7.0,0.0,1.0,2,2.0,1.0,3.0,4.0,10.0,1.0,0.0,0.0,3.0,,10.3,38.07106598984772,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741
1987,1986–87,77820,John Paxson,0028600897,1987-04-12,CHI vs. IND,IND,W,23,6,3,9.0,0.0,2.0,0,0.0,0.0,2.0,2.0,4.0,1.0,0.0,0.0,4.0,,3.7000000000000006,33.33333333333333,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741
1987,1986–87,76453,Dave Corzine,0028600897,1987-04-12,CHI vs. IND,IND,W,45,16,5,14.0,0.0,0.0,6,7.0,3.0,4.0,7.0,4.0,2.0,2.0,0.0,2.0,,16.499999999999996,46.8384074941452,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741
1987,1986–87,893,Michael Jordan,0028600897,1987-04-12,CHI vs. IND,IND,W,42,53,19,27.0,0.0,0.0,15,18.0,2.0,2.0,4.0,8.0,4.0,2.0,3.0,2.0,,49.7,75.8877434135166,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741
1987,1986–87,78378,Elston Turner,0028600897,1987-04-12,CHI vs. IND,IND,W,7,2,1,3.0,0.0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,0.6000000000000002,33.33333333333333,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741
1987,1986–87,78110,Brad Sellers,0028600897,1987-04-12,CHI vs. IND,IND,W,30,15,7,14.0,0.0,0.0,1,2.0,1.0,3.0,4.0,3.0,2.0,1.0,2.0,3.0,,10.8,50.403225806451616,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741
1987,1986–87,76093,Gene Banks,0028600897,1987-04-12,CHI vs. IND,IND,W,19,2,0,1.0,0.0,0.0,2,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,,-1.6,53.191489361702125,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741
1987,1986–87,9,Sedale Threatt,0028600897,1987-04-12,CHI vs. IND,IND,W,26,10,4,7.0,0.0,1.0,2,2.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,2.0,,11.799999999999999,63.45177664974619,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741
1987,1986–87,77873,Ben Poquette,0028600897,1987-04-12,CHI vs. IND,IND,W,1,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741
1987,1986–87,1479,Mike Brown,0028600897,1987-04-12,CHI vs. IND,IND,W,9,4,2,3.0,0.0,0.0,0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0,4.0,,1.7999999999999994,66.66666666666666,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741
1987,1986–87,891,Charles Oakley,0028600897,1987-04-12,CHI vs. IND,IND,W,38,8,2,5.0,0.0,1.0,4,4.0,4.0,12.0,16.0,4.0,1.0,0.0,3.0,5.0,,10.5,59.171597633136095,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741
1987,1986–87,893,Michael Jordan,0028600886,1987-04-10,CHI @ PHL,PHL,L,50,34,11,31.0,0.0,1.0,12,15.0,3.0,3.0,6.0,10.0,3.0,1.0,3.0,3.0,,25.0,45.212765957446805,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741
1987,1986–87,78110,Brad Sellers,0028600886,1987-04-10,CHI @ PHL,PHL,L,21,5,1,6.0,0.0,1.0,3,4.0,3.0,4.0,7.0,0.0,1.0,0.0,1.0,1.0,,3.7,32.21649484536083,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741
1987,1986–87,77820,John Paxson,0028600886,1987-04-10,CHI @ PHL,PHL,L,43,15,6,14.0,3.0,6.0,0,0.0,0.0,3.0,3.0,5.0,0.0,0.0,3.0,3.0,,7.800000000000001,53.57142857142857,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741
1987,1986–87,1479,Mike Brown,0028600886,1987-04-10,CHI @ PHL,PHL,L,4,0,0,1.0,0.0,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,,-2.5,0.0,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741
1987,1986–87,76453,Dave Corzine,0028600886,1987-04-10,CHI @ PHL,PHL,L,40,14,7,12.0,0.0,0.0,0,0.0,4.0,8.0,12.0,4.0,1.0,1.0,4.0,4.0,,12.5,58.333333333333336,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741
1987,1986–87,9,Sedale Threatt,0028600886,1987-04-10,CHI @ PHL,PHL,L,13,6,3,7.0,0.0,0.0,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,,2.7000000000000006,42.857142857142854,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741
1987,1986–87,77873,Ben Poquette,0028600886,1987-04-10,CHI @ PHL,PHL,L,3,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741
1987,1986–87,891,Charles Oakley,0028600886,1987-04-10,CHI @ PHL,PHL,L,36,16,7,17.0,0.0,1.0,2,3.0,7.0,14.0,21.0,2.0,2.0,1.0,3.0,4.0,,15.099999999999998,43.66812227074236,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741
1987,1986–87,76093,Gene Banks,0028600886,1987-04-10,CHI @ PHL,PHL,L,37,2,1,4.0,0.0,0.0,0,0.0,2.0,1.0,3.0,1.0,1.0,0.0,3.0,3.0,,-1.2000000000000002,25.0,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741
1987,1986–87,78430,Granville Waiters,0028600886,1987-04-10,CHI @ PHL,PHL,L,6,0,0,1.0,0.0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741
1987,1986–87,78378,Elston Turner,0028600886,1987-04-10,CHI @ PHL,PHL,L,12,4,0,4.0,0.0,1.0,4,4.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,,4.6,34.72222222222222,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741
1987,1986–87,78378,Elston Turner,0028600869,1987-04-07,CHI vs. DET,DET,W,22,6,3,6.0,0.0,0.0,0,2.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,,6.3,43.604651162790695,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741
1987,1986–87,1479,Mike Brown,0028600869,1987-04-07,CHI vs. DET,DET,W,23,11,5,9.0,0.0,0.0,1,2.0,3.0,3.0,6.0,2.0,0.0,0.0,1.0,2.0,,8.899999999999999,55.66801619433198,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741
1987,1986–87,9,Sedale Threatt,0028600869,1987-04-07,CHI vs. DET,DET,W,22,10,2,6.0,0.0,0.0,6,8.0,1.0,4.0,5.0,7.0,2.0,0.0,1.0,2.0,,12.8,52.52100840336135,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741
1987,1986–87,78430,Granville Waiters,0028600869,1987-04-07,CHI vs. DET,DET,W,6,4,2,5.0,0.0,0.0,0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,,1.8000000000000003,34.01360544217687,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741
1987,1986–87,76093,Gene Banks,0028600869,1987-04-07,CHI vs. DET,DET,W,27,9,4,7.0,0.0,0.0,1,1.0,1.0,6.0,7.0,3.0,1.0,2.0,1.0,2.0,,10.899999999999999,60.483870967741936,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741
1987,1986–87,77820,John Paxson,0028600869,1987-04-07,CHI vs. DET,DET,W,21,12,5,7.0,2.0,2.0,0,0.0,0.0,2.0,2.0,3.0,2.0,0.0,0.0,2.0,,13.0,85.71428571428571,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741
1987,1986–87,76453,Dave Corzine,0028600869,1987-04-07,CHI vs. DET,DET,W,25,8,4,4.0,0.0,0.0,0,0.0,2.0,2.0,4.0,4.0,0.0,3.0,1.0,3.0,,11.499999999999996,100.0,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741
1987,1986–87,78110,Brad Sellers,0028600869,1987-04-07,CHI vs. DET,DET,W,30,8,3,8.0,0.0,0.0,2,2.0,0.0,3.0,3.0,2.0,2.0,1.0,1.0,3.0,,6.3999999999999995,45.04504504504504,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741
1987,1986–87,77873,Ben Poquette,0028600869,1987-04-07,CHI vs. DET,DET,W,5,2,1,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,2.4000000000000004,50.0,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741
1987,1986–87,939,Pete Myers,0028600869,1987-04-07,CHI vs. DET,DET,W,7,2,1,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,,1.8999999999999995,100.0,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741
1987,1986–87,891,Charles Oakley,0028600869,1987-04-07,CHI vs. DET,DET,W,26,5,2,5.0,0.0,0.0,1,2.0,1.0,7.0,8.0,0.0,0.0,0.0,4.0,3.0,,-0.5000000000000009,42.51700680272109,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741
1987,1986–87,893,Michael Jordan,0028600869,1987-04-07,CHI vs. DET,DET,W,26,39,13,21.0,0.0,0.0,13,16.0,2.0,3.0,5.0,4.0,4.0,1.0,3.0,0.0,,35.1,69.5435092724679,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741
1987,1986–87,891,Charles Oakley,0028600856,1987-04-04,CHI @ ATL,ATL,L,33,14,6,16.0,0.0,0.0,2,2.0,7.0,8.0,15.0,0.0,0.0,0.0,3.0,3.0,,8.299999999999997,41.46919431279621,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741
1987,1986–87,78378,Elston Turner,0028600856,1987-04-04,CHI @ ATL,ATL,L,12,2,1,5.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,-2.5,20.0,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741
1987,1986–87,78430,Granville Waiters,0028600856,1987-04-04,CHI @ ATL,ATL,L,11,4,2,3.0,0.0,0.0,0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,4.800000000000001,66.66666666666666,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741
1987,1986–87,1479,Mike Brown,0028600856,1987-04-04,CHI @ ATL,ATL,L,19,8,2,5.0,0.0,0.0,4,7.0,1.0,9.0,10.0,0.0,1.0,0.0,1.0,1.0,,7.1,49.504950495049506,https://www.nba.com/stats/players/boxscores-traditional?Season=1986-87&SeasonType=Regular%20Season&TeamID=1610612741
