game_id,game_date,matchup,result,team_points,team_plus_minus,season_end_year,team_source_url
0020101177,2002-04-17,CHI @ CHH,L,106,-6,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741
0020101162,2002-04-15,CHI @ PHI,W,98,2,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741
0020101150,2002-04-13,CHI vs. DET,L,106,-18,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741
0020101131,2002-04-11,CHI @ NYK,W,104,3,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741
0020101127,2002-04-10,CHI @ DET,W,102,1,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741
0020101108,2002-04-08,CHI vs. BOS,W,105,5,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741
0020101096,2002-04-06,CHI @ CLE,L,101,-19,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741
0020101089,2002-04-05,CHI vs. TOR,L,96,-2,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741
0020101068,2002-04-03,CHI @ TOR,L,104,-13,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741
0020101044,2002-03-30,CHI vs. DEN,L,84,-16,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741
0020101028,2002-03-28,CHI vs. PHI,L,79,-20,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741
0020101010,2002-03-26,CHI @ ORL,L,82,-14,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741
0020100987,2002-03-23,CHI @ ATL,L,96,-16,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741
0020100984,2002-03-22,CHI vs. POR,L,93,-16,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741
0020100961,2002-03-19,CHI vs. ATL,L,96,-6,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741
0020100939,2002-03-16,CHI @ HOU,W,114,2,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741
0020100924,2002-03-14,CHI @ SAS,L,86,-5,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741
0020100911,2002-03-12,CHI @ MIL,L,81,-29,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741
0020100904,2002-03-11,CHI vs. SAC,L,103,-4,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741
0020100888,2002-03-09,CHI vs. SAS,L,73,-27,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741
0020100879,2002-03-08,CHI vs. LAC,L,90,-4,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741
0020100866,2002-03-06,CHI vs. MIA,L,87,-5,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741
0020100852,2002-03-05,CHI @ WAS,L,90,-25,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741
0020100839,2002-03-03,CHI @ NJN,L,84,-8,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741
0020100828,2002-03-01,CHI vs. WAS,W,90,9,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741
0020100814,2002-02-27,CHI @ DET,L,89,-12,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741
0020100804,2002-02-26,CHI vs. ORL,L,97,-15,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741
0020100786,2002-02-23,CHI vs. GSW,W,105,14,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741
0020100779,2002-02-22,CHI vs. PHX,W,91,8,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741
0020100764,2002-02-20,CHI vs. NYK,W,113,4,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741
0020100749,2002-02-18,CHI @ MIA,L,80,-22,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741
0020100732,2002-02-16,CHI vs. CLE,L,101,-13,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741
0020100726,2002-02-15,CHI vs. NJN,L,81,-25,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741
0020100709,2002-02-13,CHI @ CHH,L,91,-22,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741
0020100703,2002-02-12,CHI vs. MIL,W,96,4,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741
0020100691,2002-02-06,CHI @ LAL,W,97,8,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741
0020100672,2002-02-03,CHI @ POR,L,96,-5,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741
0020100662,2002-02-02,CHI @ SEA,W,97,6,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741
0020100640,2002-01-30,CHI @ UTA,L,78,-12,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741
0020100634,2002-01-29,CHI @ PHX,L,90,-1,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741
0020100618,2002-01-26,CHI vs. MEM,W,95,3,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741
0020100584,2002-01-22,CHI @ MIA,L,79,-13,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741
0020100575,2002-01-21,CHI vs. IND,L,81,-12,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741
0020100564,2002-01-19,CHI vs. WAS,L,69,-8,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741
0020100545,2002-01-17,CHI @ ATL,W,94,3,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741
0020100533,2002-01-15,CHI vs. CHH,L,86,-8,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741
0020100514,2002-01-12,CHI vs. LAL,W,106,2,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741
0020100502,2002-01-11,CHI @ IND,L,90,-7,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741
0020100493,2002-01-09,CHI vs. TOR,L,73,-12,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741
0020100477,2002-01-07,CHI vs. SEA,L,88,-12,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741
0020100462,2002-01-05,CHI vs. UTA,L,111,-2,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741
0020100447,2002-01-04,CHI @ WAS,L,83,-6,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741
0020100438,2002-01-02,CHI vs. DAL,L,97,-10,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741
0020100430,2001-12-31,CHI vs. MIL,W,90,7,2002,https://www.nba.com/stats/teams/boxscores?Season=2001-02&SeasonType=Regular%20Season&TeamID=1610612741
