season_end_year,season,player_id,player,game_id,game_date,matchup,opponent,result,minutes,points,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,tov,pf,plus_minus,game_score,ts_pct,player_source_url
2001,2000–01,1882,Elton Brand,0020001181,2001-04-18,CHI @ PHI,PHI,W,38.35333333333333,31,11,21,0,0,9,10,1,4,5,4,2,0,1,2,12,25.2,61.023622047244096,https://www.nba.com/stats/players/boxscores-traditional?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741
2001,2000–01,697,Fred Hoiberg,0020001181,2001-04-18,CHI @ PHI,PHI,W,37.53333333333333,18,5,6,3,4,5,6,1,5,6,6,2,0,1,2,14,22.0,104.16666666666666,https://www.nba.com/stats/players/boxscores-traditional?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741
2001,2000–01,1897,Metta World Peace,0020001181,2001-04-18,CHI @ PHI,PHI,W,35.333333333333336,8,2,8,0,1,4,4,0,3,3,3,2,1,5,5,10,1.9000000000000004,40.98360655737705,https://www.nba.com/stats/players/boxscores-traditional?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741
2001,2000–01,2062,A.J. Guyton,0020001181,2001-04-18,CHI @ PHI,PHI,W,40.766666666666666,6,3,9,0,3,0,0,0,3,3,5,2,0,1,1,-1,5.9,33.33333333333333,https://www.nba.com/stats/players/boxscores-traditional?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741
2001,2000–01,2033,Marcus Fizer,0020001181,2001-04-18,CHI @ PHI,PHI,W,22.346666666666668,10,5,10,0,1,0,0,0,3,3,1,1,1,0,2,5,7.500000000000001,50.0,https://www.nba.com/stats/players/boxscores-traditional?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741
2001,2000–01,1802,Brad Miller,0020001181,2001-04-18,CHI @ PHI,PHI,W,25.35333333333333,10,4,6,0,0,2,3,1,2,3,2,1,0,1,1,-1,9.3,68.30601092896174,https://www.nba.com/stats/players/boxscores-traditional?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741
2001,2000–01,1736,Corey Benjamin,0020001181,2001-04-18,CHI @ PHI,PHI,W,17.7,6,3,6,0,0,0,0,0,1,1,4,1,0,2,1,-1,4.7,50.0,https://www.nba.com/stats/players/boxscores-traditional?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741
2001,2000–01,2053,Dalibor Bagaric,0020001181,2001-04-18,CHI @ PHI,PHI,W,9.946666666666667,3,1,2,0,0,1,2,0,2,2,1,1,2,0,2,-4,4.500000000000001,52.083333333333336,https://www.nba.com/stats/players/boxscores-traditional?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741
2001,2000–01,1864,Steve Goodrich,0020001181,2001-04-18,CHI @ PHI,PHI,W,12.666666666666666,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,-4,1.5999999999999999,0.0,https://www.nba.com/stats/players/boxscores-traditional?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741
2001,2000–01,1882,Elton Brand,0020001170,2001-04-17,CHI @ NJN,NJN,W,43.8,12,5,10,0,0,2,3,3,9,12,7,1,3,1,4,13,16.799999999999997,53.003533568904594,https://www.nba.com/stats/players/boxscores-traditional?Season=2000-01&SeasonType=Regular%20Season&TeamID=1610612741
