game_id,game_date,matchup,result,team_points,team_plus_minus,season_end_year,team_source_url
0022101224,2022-04-10,CHI @ MIN,W,124,4,2022,https://www.nba.com/stats/teams/boxscores?Season=2021-22&SeasonType=Regular%20Season&TeamID=1610612741
0022101208,2022-04-08,CHI vs. CHA,L,117,-16,2022,https://www.nba.com/stats/teams/boxscores?Season=2021-22&SeasonType=Regular%20Season&TeamID=1610612741
0022101193,2022-04-06,CHI vs. BOS,L,94,-23,2022,https://www.nba.com/stats/teams/boxscores?Season=2021-22&SeasonType=Regular%20Season&TeamID=1610612741
0022101183,2022-04-05,CHI vs. MIL,L,106,-21,2022,https://www.nba.com/stats/teams/boxscores?Season=2021-22&SeasonType=Regular%20Season&TeamID=1610612741
0022101164,2022-04-02,CHI vs. MIA,L,109,-18,2022,https://www.nba.com/stats/teams/boxscores?Season=2021-22&SeasonType=Regular%20Season&TeamID=1610612741
0022101149,2022-03-31,CHI vs. LAC,W,135,5,2022,https://www.nba.com/stats/teams/boxscores?Season=2021-22&SeasonType=Regular%20Season&TeamID=1610612741
0022101132,2022-03-29,CHI @ WAS,W,107,13,2022,https://www.nba.com/stats/teams/boxscores?Season=2021-22&SeasonType=Regular%20Season&TeamID=1610612741
0022101126,2022-03-28,CHI @ NYK,L,104,-5,2022,https://www.nba.com/stats/teams/boxscores?Season=2021-22&SeasonType=Regular%20Season&TeamID=1610612741
0022101110,2022-03-26,CHI @ CLE,W,98,4,2022,https://www.nba.com/stats/teams/boxscores?Season=2021-22&SeasonType=Regular%20Season&TeamID=1610612741
0022101098,2022-03-24,CHI @ NOP,L,109,-17,2022,https://www.nba.com/stats/teams/boxscores?Season=2021-22&SeasonType=Regular%20Season&TeamID=1610612741
0022101082,2022-03-22,CHI @ MIL,L,98,-28,2022,https://www.nba.com/stats/teams/boxscores?Season=2021-22&SeasonType=Regular%20Season&TeamID=1610612741
0022101076,2022-03-21,CHI vs. TOR,W,113,14,2022,https://www.nba.com/stats/teams/boxscores?Season=2021-22&SeasonType=Regular%20Season&TeamID=1610612741
0022101056,2022-03-18,CHI @ PHX,L,102,-27,2022,https://www.nba.com/stats/teams/boxscores?Season=2021-22&SeasonType=Regular%20Season&TeamID=1610612741
0022101041,2022-03-16,CHI @ UTA,L,110,-15,2022,https://www.nba.com/stats/teams/boxscores?Season=2021-22&SeasonType=Regular%20Season&TeamID=1610612741
0022101026,2022-03-14,CHI @ SAC,L,103,-9,2022,https://www.nba.com/stats/teams/boxscores?Season=2021-22&SeasonType=Regular%20Season&TeamID=1610612741
0022101006,2022-03-12,CHI vs. CLE,W,101,10,2022,https://www.nba.com/stats/teams/boxscores?Season=2021-22&SeasonType=Regular%20Season&TeamID=1610612741
0022100982,2022-03-09,CHI @ DET,W,114,6,2022,https://www.nba.com/stats/teams/boxscores?Season=2021-22&SeasonType=Regular%20Season&TeamID=1610612741
0022100969,2022-03-07,CHI @ PHI,L,106,-15,2022,https://www.nba.com/stats/teams/boxscores?Season=2021-22&SeasonType=Regular%20Season&TeamID=1610612741
0022100949,2022-03-04,CHI vs. MIL,L,112,-6,2022,https://www.nba.com/stats/teams/boxscores?Season=2021-22&SeasonType=Regular%20Season&TeamID=1610612741
0022100710,2022-03-03,CHI @ ATL,L,124,-6,2022,https://www.nba.com/stats/teams/boxscores?Season=2021-22&SeasonType=Regular%20Season&TeamID=1610612741
0022100922,2022-02-28,CHI @ MIA,L,99,-13,2022,https://www.nba.com/stats/teams/boxscores?Season=2021-22&SeasonType=Regular%20Season&TeamID=1610612741
0022100909,2022-02-26,CHI vs. MEM,L,110,-6,2022,https://www.nba.com/stats/teams/boxscores?Season=2021-22&SeasonType=Regular%20Season&TeamID=1610612741
0022100891,2022-02-24,CHI vs. ATL,W,112,4,2022,https://www.nba.com/stats/teams/boxscores?Season=2021-22&SeasonType=Regular%20Season&TeamID=1610612741
0022100878,2022-02-16,CHI vs. SAC,W,125,7,2022,https://www.nba.com/stats/teams/boxscores?Season=2021-22&SeasonType=Regular%20Season&TeamID=1610612741
0022100861,2022-02-14,CHI vs. SAS,W,120,11,2022,https://www.nba.com/stats/teams/boxscores?Season=2021-22&SeasonType=Regular%20Season&TeamID=1610612741
0022100852,2022-02-12,CHI vs. OKC,W,106,5,2022,https://www.nba.com/stats/teams/boxscores?Season=2021-22&SeasonType=Regular%20Season&TeamID=1610612741
0022100843,2022-02-11,CHI vs. MIN,W,134,12,2022,https://www.nba.com/stats/teams/boxscores?Season=2021-22&SeasonType=Regular%20Season&TeamID=1610612741
0022100826,2022-02-09,CHI @ CHA,W,121,12,2022,https://www.nba.com/stats/teams/boxscores?Season=2021-22&SeasonType=Regular%20Season&TeamID=1610612741
