game_id,game_date,matchup,result,team_points,team_plus_minus,season_end_year,team_source_url
0022401191,2025-04-13,CHI @ PHI,W,122,20,2025,https://www.nba.com/stats/teams/boxscores?Season=2024-25&SeasonType=Regular%20Season&TeamID=1610612741
0022401176,2025-04-11,CHI vs. WAS,W,119,30,2025,https://www.nba.com/stats/teams/boxscores?Season=2024-25&SeasonType=Regular%20Season&TeamID=1610612741
0022401160,2025-04-09,CHI vs. MIA,W,119,8,2025,https://www.nba.com/stats/teams/boxscores?Season=2024-25&SeasonType=Regular%20Season&TeamID=1610612741
0022401147,2025-04-08,CHI @ CLE,L,113,-22,2025,https://www.nba.com/stats/teams/boxscores?Season=2024-25&SeasonType=Regular%20Season&TeamID=1610612741
0022401133,2025-04-06,CHI @ CHA,W,131,14,2025,https://www.nba.com/stats/teams/boxscores?Season=2024-25&SeasonType=Regular%20Season&TeamID=1610612741
0022401122,2025-04-04,CHI vs. POR,W,118,5,2025,https://www.nba.com/stats/teams/boxscores?Season=2024-25&SeasonType=Regular%20Season&TeamID=1610612741
0022401099,2025-04-01,CHI vs. TOR,W,137,19,2025,https://www.nba.com/stats/teams/boxscores?Season=2024-25&SeasonType=Regular%20Season&TeamID=1610612741
0022401094,2025-03-31,CHI @ OKC,L,117,-28,2025,https://www.nba.com/stats/teams/boxscores?Season=2024-25&SeasonType=Regular%20Season&TeamID=1610612741
0022401077,2025-03-29,CHI vs. DAL,L,119,-1,2025,https://www.nba.com/stats/teams/boxscores?Season=2024-25&SeasonType=Regular%20Season&TeamID=1610612741
0022401063,2025-03-27,CHI vs. LAL,W,119,2,2025,https://www.nba.com/stats/teams/boxscores?Season=2024-25&SeasonType=Regular%20Season&TeamID=1610612741
0022401042,2025-03-24,CHI @ DEN,W,129,10,2025,https://www.nba.com/stats/teams/boxscores?Season=2024-25&SeasonType=Regular%20Season&TeamID=1610612741
0022401028,2025-03-22,CHI @ LAL,W,146,31,2025,https://www.nba.com/stats/teams/boxscores?Season=2024-25&SeasonType=Regular%20Season&TeamID=1610612741
0022401013,2025-03-20,CHI @ SAC,W,128,12,2025,https://www.nba.com/stats/teams/boxscores?Season=2024-25&SeasonType=Regular%20Season&TeamID=1610612741
0022401007,2025-03-19,CHI @ PHX,L,121,-6,2025,https://www.nba.com/stats/teams/boxscores?Season=2024-25&SeasonType=Regular%20Season&TeamID=1610612741
0022400989,2025-03-17,CHI @ UTA,W,111,14,2025,https://www.nba.com/stats/teams/boxscores?Season=2024-25&SeasonType=Regular%20Season&TeamID=1610612741
0022400970,2025-03-15,CHI @ HOU,L,114,-3,2025,https://www.nba.com/stats/teams/boxscores?Season=2024-25&SeasonType=Regular%20Season&TeamID=1610612741
0022400956,2025-03-13,CHI vs. BKN,W,116,6,2025,https://www.nba.com/stats/teams/boxscores?Season=2024-25&SeasonType=Regular%20Season&TeamID=1610612741
0022400933,2025-03-10,CHI vs. IND,W,121,18,2025,https://www.nba.com/stats/teams/boxscores?Season=2024-25&SeasonType=Regular%20Season&TeamID=1610612741
0022400916,2025-03-08,CHI @ MIA,W,114,5,2025,https://www.nba.com/stats/teams/boxscores?Season=2024-25&SeasonType=Regular%20Season&TeamID=1610612741
0022400944,2025-03-06,CHI @ ORL,W,125,2,2025,https://www.nba.com/stats/teams/boxscores?Season=2024-25&SeasonType=Regular%20Season&TeamID=1610612741
0022400886,2025-03-04,CHI vs. CLE,L,117,-22,2025,https://www.nba.com/stats/teams/boxscores?Season=2024-25&SeasonType=Regular%20Season&TeamID=1610612741
0022400868,2025-03-02,CHI @ IND,L,112,-15,2025,https://www.nba.com/stats/teams/boxscores?Season=2024-25&SeasonType=Regular%20Season&TeamID=1610612741
0022400855,2025-02-28,CHI vs. TOR,W,125,10,2025,https://www.nba.com/stats/teams/boxscores?Season=2024-25&SeasonType=Regular%20Season&TeamID=1610612741
0022400842,2025-02-26,CHI vs. LAC,L,117,-5,2025,https://www.nba.com/stats/teams/boxscores?Season=2024-25&SeasonType=Regular%20Season&TeamID=1610612741
0022400823,2025-02-24,CHI @ PHI,W,142,32,2025,https://www.nba.com/stats/teams/boxscores?Season=2024-25&SeasonType=Regular%20Season&TeamID=1610612741
0022400806,2025-02-22,CHI vs. PHX,L,117,-4,2025,https://www.nba.com/stats/teams/boxscores?Season=2024-25&SeasonType=Regular%20Season&TeamID=1610612741
0022400792,2025-02-20,CHI @ NYK,L,111,-2,2025,https://www.nba.com/stats/teams/boxscores?Season=2024-25&SeasonType=Regular%20Season&TeamID=1610612741
0022400775,2025-02-12,CHI vs. DET,L,110,-18,2025,https://www.nba.com/stats/teams/boxscores?Season=2024-25&SeasonType=Regular%20Season&TeamID=1610612741
0022400766,2025-02-11,CHI vs. DET,L,92,-40,2025,https://www.nba.com/stats/teams/boxscores?Season=2024-25&SeasonType=Regular%20Season&TeamID=1610612741
