PLAYER_ID,PLAYER_NAME,GP,MIN,FGA,FGM
201166,Aaron Brooks,82,1884.6133333333332,817,344
203946,Cameron Bairstow,18,63.531666666666666,14,3
201565,Derrick Rose,51,1529.8816666666667,835,338
203926,Doug McDermott,36,320.8333333333333,107,43
202734,E'Twaun Moore,56,504.28833333333336,139,62
202710,Jimmy Butler III,65,2513.4733333333334,912,421
201149,Joakim Noah,67,2048.645,427,190
2550,Kirk Hinrich,66,1609.9666666666667,381,142
2399,Mike Dunleavy,63,1837.7966666666666,481,209
1737,Nazr Mohammed,23,128.04333333333332,30,13
202703,Nikola Mirotic,82,1654.1216666666667,624,253
2200,Pau Gasol,78,2680.7433333333333,1153,570
201959,Taj Gibson,62,1691.9033333333334,506,254
203503,Tony Snell,72,1412.1583333333333,371,159
