PLAYER_ID,PLAYER_NAME,GP,MIN,FGA,FGM
1627936,Alex Caruso,41,1146.8316666666667,256,102
1628035,Alfonzo McKinnie,17,206.31333333333333,61,24
1628993,Alize Johnson,16,120.53666666666666,23,12
1630245,Ayo Dosunmu,77,2109.641666666667,535,278
1629632,Coby White,61,1674.9266666666667,644,279
201942,DeMar DeRozan,76,2742.9483333333333,1535,774
1627884,Derrick Jones Jr.,51,899.41,195,105
1629653,Devon Dotson,11,85.17,23,11
1629750,Javonte Green,65,1519.045,325,176
1628395,Jordan Bell,1,2.0166666666666666,0,0
1628366,Lonzo Ball,35,1212.345,383,162
1630644,Mac McClung,1,2.55,1,1
1630792,Malcolm Hill,16,166.24,44,19
1630250,Marko Simonovic,9,35.185,15,4
1629744,Matt Thomas,40,459.51166666666666,134,55
202696,Nikola Vučević,73,2417.5433333333335,1154,546
1630172,Patrick Williams,17,422.3283333333333,102,54
1628396,Tony Bradley,55,549.065,123,72
202684,Tristan Thompson,23,375.95666666666665,92,52
1628972,Troy Brown Jr.,66,1054.74,258,108
1629076,Tyler Cook,20,199.61666666666667,38,23
203897,Zach LaVine,67,2328.0783333333334,1186,565
