PLAYER_ID,PLAYER_NAME,GP,MIN,FGA,FGM
1629014,Anfernee Simons,6,170.135,80,35
1630245,Ayo Dosunmu,45,1187.21,486,250
1629632,Coby White,29,843.4266666666666,393,172
1629012,Collin Sexton,26,675.6766666666666,328,158
1631207,Dalen Terry,34,377.35,102,45
1641801,Emanuel Miller,5,33.05,13,6
1627824,Guerschon Yabusele,26,641.3866666666667,205,83
1630171,Isaac Okoro,63,1694.89,459,211
1631093,Jaden Ivey,4,115.45,36,15
1630188,Jalen Smith,53,1095.3883333333333,404,195
1628975,Jevon Carter,23,254.23,103,41
1630581,Josh Giddey,54,1731.3566666666666,717,321
1641763,Julian Phillips,35,333.4916666666667,88,37
1628989,Kevin Huerter,44,1036.985,404,184
1642950,Lachlan Olbrich,37,344.2216666666667,77,36
1631159,Leonard Miller,27,623.76,229,127
1630644,Mac McClung,8,101.285,41,16
1641824,Matas Buzelis,77,2248.2483333333334,963,446
1631338,Mouhamadou Gueye,2,45.44166666666667,11,6
1630208,Nick Richards,20,447.16833333333335,130,68
202696,Nikola Vučević,48,1480.3066666666666,660,333
1642855,Noa Essengue,2,6.033333333333333,3,0
1630172,Patrick Williams,72,1473.78,478,178
1642265,Rob Dillingham,30,644.0483333333333,271,116
1630200,Tre Jones,65,1752.3733333333332,617,341
1642280,Trentyn Flowers,2,5.55,3,2
1642530,Yuki Kawamura,18,209.02,52,17
1628380,Zach Collins,10,183.73666666666668,64,37
