PLAYER_ID,PLAYER_NAME,GP,MIN,FGA,FGM
1629690,Adam Mokoka,11,111.66666666666667,28,12
1628990,Chandler Hutchison,28,526.7916666666666,175,80
1629632,Coby White,65,1674.0,792,312
1626245,Cristiano Felicio,22,385.71666666666664,54,34
1629655,Daniel Gafford,43,609.0533333333333,134,94
1627756,Denzel Valentine,36,487.895,237,97
1627739,Kris Dunn,51,1268.62,342,152
1628374,Lauri Markkanen,50,1491.5783333333334,591,251
1628436,Luke Kornet,36,558.5433333333333,187,82
1629622,Max Strus,2,6.233333333333333,3,2
203490,Otto Porter Jr.,14,330.78,140,62
1627853,Ryan Arcidiacono,58,929.9733333333334,220,90
1627885,Shaquille Harrison,43,484.3516666666667,165,77
201152,Thaddeus Young,64,1590.6616666666666,601,269
203107,Tomas Satoransky,65,1877.9383333333333,551,237
1628976,Wendell Carter Jr.,43,1255.7866666666666,343,183
203897,Zach LaVine,60,2085.41,1199,539
