PLAYER_ID,PLAYER_NAME,GP,MIN,FGA,FGM
1627936,Alex Caruso,67,1575.3766666666668,286,130
203083,Andre Drummond,67,849.1383333333333,274,166
1630245,Ayo Dosunmu,80,2097.616666666667,570,281
1630637,Carlik Jones,7,55.97,15,6
1629632,Coby White,74,1730.2283333333332,594,263
1631207,Dalen Terry,38,213.945,72,32
201942,DeMar DeRozan,74,2681.61,1303,657
1627884,Derrick Jones Jr.,64,893.4083333333333,230,115
201609,Goran Dragic,51,787.09,299,127
1629750,Javonte Green,32,480.25666666666666,108,61
1630792,Malcolm Hill,5,9.15,4,2
1630250,Marko Simonovic,7,19.596666666666668,7,2
202696,Nikola Vučević,82,2746.355,1148,597
201976,Patrick Beverley,22,605.385,119,47
1630172,Patrick Williams,82,2322.8416666666667,677,314
1630678,Terry Taylor,5,35.71666666666667,10,9
1628396,Tony Bradley,12,33.365,12,6
203897,Zach LaVine,77,2767.95,1388,673
