PLAYER_ID,PLAYER_NAME,GP,MIN,FGA,FGM
2430,Carlos Boozer,76,2141.1233333333334,980,447
201858,Cartier Martin,6,47.69,8,5
201571,D.J. Augustin,61,1856.76,694,291
201565,Derrick Rose,10,310.8883333333333,164,58
203513,Erik Murphy,24,62.151666666666664,13,3
202363,Jarvis Varnado,1,2.05,0,0
202690,Jimmer Fredette,8,55.53,29,13
202710,Jimmy Butler III,67,2590.4933333333333,693,275
201149,Joakim Noah,80,2819.695,800,380
2550,Kirk Hinrich,73,2116.4066666666668,619,243
200811,Lou Amundson,1,1.0666666666666667,0,0
2736,Luol Deng,23,859.835,354,160
203104,Marquis Teague,19,241.82166666666666,66,16
2399,Mike Dunleavy,82,2583.715,774,333
2229,Mike James,11,77.10666666666667,21,5
1737,Nazr Mohammed,80,562.4383333333334,126,54
200758,Ronnie Brewer,1,2.1,0,0
201959,Taj Gibson,82,2351.11,896,429
203503,Tony Snell,77,1230.7066666666667,336,129
203129,Tornike Shengelia,9,17.311666666666667,4,2
