PLAYER_ID,PLAYER_NAME,GP,MIN,FGA,FGM
201166,Aaron Brooks,69,1107.71,469,188
1626171,Bobby Portis Jr.,62,1102.08,436,186
203946,Cameron Bairstow,18,102.6,40,13
1626245,Cristiano Felicio,31,320.7033333333333,72,40
201565,Derrick Rose,66,2097.423333333333,1048,447
203926,Doug McDermott,81,1860.56,644,291
202734,E'Twaun Moore,59,1263.1,389,187
202710,Jimmy Butler III,67,2473.625,1035,470
201149,Joakim Noah,29,635.4233333333333,133,51
203200,Justin Holiday,27,510.07,155,64
2550,Kirk Hinrich,35,555.0283333333333,118,47
2399,Mike Dunleavy,31,702.6366666666667,188,77
202703,Nikola Mirotic,66,1646.11,609,248
2200,Pau Gasol,72,2291.358333333333,995,467
201959,Taj Gibson,73,1935.5583333333334,500,263
203503,Tony Snell,64,1301.0133333333333,339,126
