PLAYER_ID,PLAYER_NAME,GP,MIN,FGA,FGM
1641766,Adama Sanogo,4,21.498333333333335,7,4
1630245,Ayo Dosunmu,46,1393.8833333333334,449,221
1630537,Chris Duarte,17,74.46833333333333,26,12
1629632,Coby White,74,2450.2566666666667,1121,508
1631207,Dalen Terry,73,987.1783333333333,268,120
1630604,E.J. Liddell,12,52.85666666666667,15,8
1641801,Emanuel Miller,6,24.733333333333334,8,4
1642443,Jahmir Young,6,29.666666666666668,5,4
1630188,Jalen Smith,64,962.3833333333333,408,190
1628975,Jevon Carter,36,320.5733333333333,146,55
1630581,Josh Giddey,70,2116.641666666667,798,371
1641763,Julian Phillips,79,1122.905,287,128
1628989,Kevin Huerter,26,779.645,294,129
1628366,Lonzo Ball,35,777.03,243,89
1641824,Matas Buzelis,80,1511.295,555,252
202696,Nikola Vučević,73,2278.25,1038,550
1630172,Patrick Williams,63,1576.3266666666666,516,205
1629659,Talen Horton-Tucker,58,723.695,291,133
1628470,Torrey Craig,9,112.855,45,22
1630200,Tre Jones,18,454.8,145,83
1628380,Zach Collins,28,552.0366666666666,170,92
203897,Zach LaVine,42,1432.0216666666668,710,363
