PLAYER_ID,PLAYER_NAME,GP,MIN,FGA,FGM
1641766,Adama Sanogo,9,65.76166666666667,27,14
1627936,Alex Caruso,71,2040.3433333333332,541,253
203083,Andre Drummond,79,1351.2516666666668,480,267
1641847,Andrew Funk,5,13.4,4,0
1630245,Ayo Dosunmu,76,2212.4683333333332,719,360
1629632,Coby White,79,2881.3566666666666,1209,541
1631207,Dalen Terry,59,680.71,157,69
201942,DeMar DeRozan,79,2988.568333333333,1355,650
1630929,Henri Drell,4,29.916666666666668,10,4
1629750,Javonte Green,9,230.4,75,45
1628975,Jevon Carter,72,1003.6016666666667,365,138
1641763,Julian Phillips,40,322.55,77,32
202696,Nikola Vučević,76,2609.5016666666666,1211,586
1641931,Onuralp Bitim,23,267.9916666666667,84,32
1630172,Patrick Williams,43,1174.085,359,159
1630678,Terry Taylor,31,187.63,39,20
1628470,Torrey Craig,53,1048.6016666666667,251,108
203897,Zach LaVine,25,871.8616666666667,376,170
