season_end_year,season,player_id,player,game_id,game_date,matchup,opponent,result,minutes,points,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,tov,pf,plus_minus,game_score,ts_pct,player_source_url
2017,2016–17,202710,Jimmy Butler III,0021601222,2017-04-12,CHI vs. BKN,BKN,W,34.85,25,8,19,1,3,8,9,1,5,6,4,4,2,1,1,26,23.5,54.4425087108014,https://www.nba.com/stats/players/boxscores-traditional?Season=2016-17&SeasonType=Regular%20Season&TeamID=1610612741
2017,2016–17,1627835,Paul Zipser,0021601222,2017-04-12,CHI vs. BKN,BKN,W,28.35,21,8,13,5,7,0,0,0,6,6,2,0,0,0,3,20,17.099999999999998,80.76923076923077,https://www.nba.com/stats/players/boxscores-traditional?Season=2016-17&SeasonType=Regular%20Season&TeamID=1610612741
2017,2016–17,1626171,Bobby Portis Jr.,0021601222,2017-04-12,CHI vs. BKN,BKN,W,25.391666666666666,12,5,11,1,2,1,2,2,8,10,3,2,0,1,1,16,12.4,50.5050505050505,https://www.nba.com/stats/players/boxscores-traditional?Season=2016-17&SeasonType=Regular%20Season&TeamID=1610612741
2017,2016–17,202703,Nikola Mirotic,0021601222,2017-04-12,CHI vs. BKN,BKN,W,22.608333333333334,9,3,12,2,8,1,2,4,5,9,2,3,1,1,4,23,8.200000000000001,34.93788819875776,https://www.nba.com/stats/players/boxscores-traditional?Season=2016-17&SeasonType=Regular%20Season&TeamID=1610612741
2017,2016–17,200765,Rajon Rondo,0021601222,2017-04-12,CHI vs. BKN,BKN,W,19.925,10,4,9,2,2,0,0,4,2,6,5,1,0,1,3,10,11.0,55.55555555555556,https://www.nba.com/stats/players/boxscores-traditional?Season=2016-17&SeasonType=Regular%20Season&TeamID=1610612741
2017,2016–17,201577,Robin Lopez,0021601222,2017-04-12,CHI vs. BKN,BKN,W,23.066666666666666,9,2,4,0,0,5,6,2,6,8,1,0,1,1,2,12,9.399999999999999,67.7710843373494,https://www.nba.com/stats/players/boxscores-traditional?Season=2016-17&SeasonType=Regular%20Season&TeamID=1610612741
2017,2016–17,1626170,Jerian Grant,0021601222,2017-04-12,CHI vs. BKN,BKN,W,22.108333333333334,5,2,7,1,4,0,0,0,6,6,2,2,0,1,0,19,5.1,35.714285714285715,https://www.nba.com/stats/players/boxscores-traditional?Season=2016-17&SeasonType=Regular%20Season&TeamID=1610612741
2017,2016–17,2548,Dwyane Wade,0021601222,2017-04-12,CHI vs. BKN,BKN,W,22.483333333333334,7,3,9,0,0,1,2,0,2,2,4,0,0,6,1,13,-1.5000000000000009,35.425101214574894,https://www.nba.com/stats/players/boxscores-traditional?Season=2016-17&SeasonType=Regular%20Season&TeamID=1610612741
2017,2016–17,1627756,Denzel Valentine,0021601222,2017-04-12,CHI vs. BKN,BKN,W,5.966666666666667,5,2,4,1,3,0,0,0,1,1,1,1,0,0,1,10,4.6,62.5,https://www.nba.com/stats/players/boxscores-traditional?Season=2016-17&SeasonType=Regular%20Season&TeamID=1610612741
2017,2016–17,1626245,Cristiano Felicio,0021601222,2017-04-12,CHI vs. BKN,BKN,W,18.966666666666665,2,1,3,0,0,0,0,0,4,4,1,1,0,0,2,17,2.4000000000000004,33.33333333333333,https://www.nba.com/stats/players/boxscores-traditional?Season=2016-17&SeasonType=Regular%20Season&TeamID=1610612741
