rank,game_id,season_end_year,season,game_date,matchup,opponent,result,team_points,player_1_id,player_1,player_1_points,player_1_minutes,player_2_id,player_2,player_2_points,player_2_minutes,combined_points,point_gap,team_share_pct,second_tied_with,overtime_periods,overtime_label,player_1_label,player_2_label,season_label
1,22201050,2023,2022–23,2023-03-17,CHI vs. MIN,MIN,W,139,201942,DeMar DeRozan,49,51.93333333333333,203897,Zach LaVine,39,46.55,88,10,63.30935251798561,0,2,2OT,DeMar DeRozan,Zach LaVine,2022-23
2,21800928,2019,2018–19,2019-03-01,CHI @ ATL,ATL,W,168,203897,Zach LaVine,47,55.56666666666667,203490,Otto Porter Jr.,31,54.56666666666667,78,16,46.42857142857143,1,4,4OT,Zach LaVine,Otto Porter Jr.,2018-19
3,21800889,2019,2018–19,2019-02-23,CHI vs. BOS,BOS,W,126,203897,Zach LaVine,42,38.88333333333333,1628374,Lauri Markkanen,35,36.99166666666667,77,7,61.111111111111114,0,0,,Zach LaVine,Lauri Markkanen,2018-19
4,21500391,2016,2015–16,2015-12-18,CHI vs. DET,DET,L,144,202710,Jimmy Butler III,43,55.54666666666667,201565,Derrick Rose,34,54.21333333333333,77,9,53.47222222222222,0,4,4OT,Jimmy Butler,Derrick Rose,2015-16
5,21900226,2020,2019–20,2019-11-23,CHI @ CHA,CHA,W,116,203897,Zach LaVine,49,34.733333333333334,1629632,Coby White,28,34.3,77,21,66.37931034482759,0,0,,Zach LaVine,Coby White,2019-20
6,21900859,2020,2019–20,2020-02-25,CHI vs. OKC,OKC,L,122,203897,Zach LaVine,41,39.03333333333333,1629632,Coby White,35,32.75,76,6,62.295081967213115,0,0,,Zach LaVine,Coby White,2019-20
7,22000385,2021,2020–21,2021-02-10,CHI vs. NOP,NOP,W,129,203897,Zach LaVine,46,37.56666666666667,1629632,Coby White,30,34.45,76,16,58.91472868217055,0,0,,Zach LaVine,Coby White,2020-21
8,20600889,2007,2006–07,2007-03-04,CHI @ MIL,MIL,W,126,2732,Ben Gordon,48,47.155,2736,Luol Deng,27,48.733333333333334,75,21,59.523809523809526,0,1,OT,Ben Gordon,Luol Deng,2006-07
9,20301156,2004,2003–04,2004-04-11,CHI @ TOR,TOR,W,114,2037,Jamal Crawford,50,50.79833333333333,2201,Eddy Curry,25,43.48166666666667,75,25,65.78947368421053,0,1,OT,Jamal Crawford,Eddy Curry,2003-04
10,22000791,2021,2020–21,2021-04-09,CHI @ ATL,ATL,L,108,203897,Zach LaVine,50,38.733333333333334,202696,Nikola Vučević,25,36.35,75,25,69.44444444444444,0,0,,Zach LaVine,Nikola Vučević,2020-21
11,22300300,2024,2023–24,2023-12-11,CHI @ MIL,MIL,L,129,201942,DeMar DeRozan,41,41.8,1629632,Coby White,33,45.1,74,8,57.36434108527132,0,1,OT,DeMar DeRozan,Coby White,2023-24
12,21600683,2017,2016–17,2017-01-25,CHI vs. ATL,ATL,L,114,202710,Jimmy Butler III,40,40.13333333333333,2548,Dwyane Wade,33,30.816666666666663,73,7,64.03508771929825,0,0,,Jimmy Butler,Dwyane Wade,2016-17
13,20800945,2009,2008–09,2009-03-09,CHI @ MIA,MIA,L,127,2732,Ben Gordon,43,49.71666666666667,2422,John Salmons,29,53.583333333333336,72,14,56.69291338582677,0,2,2OT,Ben Gordon,John Salmons,2008-09
14,22101149,2022,2021–22,2022-03-31,CHI vs. LAC,LAC,W,135,201942,DeMar DeRozan,50,43.403333333333336,202696,Nikola Vučević,22,39.60333333333333,72,28,53.333333333333336,0,1,OT,DeMar DeRozan,Nikola Vučević,2021-22
15,22200592,2023,2022–23,2023-01-07,CHI vs. UTA,UTA,W,126,203897,Zach LaVine,36,34.6,201942,DeMar DeRozan,35,39.63333333333333,71,1,56.34920634920635,0,0,,Zach LaVine,DeMar DeRozan,2022-23
