season,rank,player_id,player,zone,fga,fgm,fg,lg_fg,fg_rel,fga_share_pct,lg_fga_share_pct,subject_excluded_fga,league_excluded_fga,subject_source_conflict_fga,league_source_conflict_fga,pps,lg_pps,point_value,rated
2010-11,4,2594,Kyle Korver,Center Mid-Range,29,14,0.4828,0.4050,7.7806,5.2065,5.7013,0,469,0,16,0.9655,0.8099,2,True
2010-11,4,2594,Kyle Korver,Right Mid-Range,42,15,0.3571,0.4029,-4.5804,7.5404,7.5771,0,469,0,16,0.7143,0.8059,2,True
2010-11,4,2594,Kyle Korver,Right Baseline,30,13,0.4333,0.4017,3.1607,5.3860,5.1602,0,469,0,16,0.8667,0.8035,2,True
2010-11,4,2594,Kyle Korver,Left Corner 3,31,12,0.3871,0.3916,-0.4469,5.5655,3.2409,0,469,0,16,1.1613,1.1747,3,True
2010-11,4,2594,Kyle Korver,Left Wing 3,82,35,0.4268,0.3557,7.1168,14.7217,5.7694,0,469,0,16,1.2805,1.0670,3,True
2010-11,4,2594,Kyle Korver,Top of Key 3,48,17,0.3542,0.3298,2.4330,8.6176,4.3907,0,469,0,16,1.0625,0.9895,3,True
2010-11,4,2594,Kyle Korver,Right Wing 3,85,35,0.4118,0.3581,5.3677,15.2603,5.6017,0,469,0,16,1.2353,1.0743,3,True
2010-11,4,2594,Kyle Korver,Right Corner 3,43,21,0.4884,0.3972,9.1165,7.7199,2.9390,0,469,0,16,1.4651,1.1908,3,True
2010-11,5,201959,Taj Gibson,Restricted Area,218,134,0.6147,0.6199,-0.5220,43.4263,31.5016,2,469,0,16,1.2294,1.2398,2,True
2010-11,5,201959,Taj Gibson,In The Paint (Non-RA),86,34,0.3953,0.3899,0.5492,17.1315,15.3098,2,469,0,16,0.7907,0.7797,2,True
2010-11,5,201959,Taj Gibson,Left Baseline,42,14,0.3333,0.3964,-6.3038,8.3665,5.4635,2,469,0,16,0.6667,0.7927,2,True
2010-11,5,201959,Taj Gibson,Left Mid-Range,25,5,0.2000,0.3959,-19.5902,4.9801,7.1100,2,469,0,16,0.4000,0.7918,2,True
2010-11,5,201959,Taj Gibson,Center Mid-Range,27,11,0.4074,0.4050,0.2455,5.3785,5.7013,2,469,0,16,0.8148,0.8099,2,True
2010-11,5,201959,Taj Gibson,Right Mid-Range,34,12,0.3529,0.4029,-5.0005,6.7729,7.5771,2,469,0,16,0.7059,0.8059,2,True
2010-11,5,201959,Taj Gibson,Right Baseline,62,23,0.3710,0.4017,-3.0759,12.3506,5.1602,2,469,0,16,0.7419,0.8035,2,True
2010-11,5,201959,Taj Gibson,Left Corner 3,0,0,,0.3916,,0.0000,3.2409,2,469,0,16,,1.1747,3,False
2010-11,5,201959,Taj Gibson,Left Wing 3,0,0,,0.3557,,0.0000,5.7694,2,469,0,16,,1.0670,3,False
2010-11,5,201959,Taj Gibson,Top of Key 3,3,1,0.3333,0.3298,0.3496,0.5976,4.3907,2,469,0,16,1.0000,0.9895,3,False
2010-11,5,201959,Taj Gibson,Right Wing 3,1,0,0.0000,0.3581,-35.8088,0.1992,5.6017,2,469,0,16,0.0000,1.0743,3,False
2010-11,5,201959,Taj Gibson,Right Corner 3,2,0,0.0000,0.3972,-39.7207,0.3984,2.9390,2,469,0,16,0.0000,1.1908,3,False
