PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT
1629690,Adam Mokoka,Adam,1610612741,CHI,22.0,14,3,11,0.214,56.178333333333335,7,19,0.368,1,10,0.1,0,1,0.0,1,4,5,5,5,2,1,1,5,1,15,-8,32.5,0,0,32.0,17,20,7,21,21,19,19,19,17,16,20,21,21,21,20,21,21,19,16,19,17,2,3,22,20,13,22,11,2,22,1
202329,Al-Farouq Aminu,Al-Farouq,1610612741,CHI,30.0,6,0,6,0.0,67.41666666666667,2,10,0.2,1,6,0.167,4,5,0.8,2,17,19,2,3,2,0,0,7,4,9,23,37.8,0,0,35.0,22,22,2,22,19,22,22,22,17,19,18,18,18,11,18,17,18,22,20,19,18,1,4,18,22,7,21,11,2,21,1
1628990,Chandler Hutchison,Chandler,1610612764,WAS,25.0,7,2,5,0.286,63.58,5,18,0.278,1,3,0.333,2,2,1.0,1,19,20,4,5,1,0,1,9,2,13,11,41.0,0,0,40.0,21,21,1,20,20,21,20,21,17,20,12,19,20,1,20,16,17,20,16,22,18,2,5,20,21,9,20,11,2,20,1
1629632,Coby White,Coby,1610612741,CHI,21.0,69,30,39,0.435,2155.82,375,902,0.416,163,454,0.359,128,142,0.901,28,256,284,328,156,38,15,59,179,154,1041,-107,1876.8,5,0,1922.0,2,1,21,9,1,2,2,16,2,2,9,2,2,4,11,2,5,1,2,6,8,21,22,2,2,21,3,4,2,2,1
1626245,Cristiano Felicio,Cristiano,1610612741,CHI,28.0,18,6,12,0.333,83.55,7,13,0.538,0,2,0.0,9,16,0.563,10,16,26,9,4,4,0,1,10,12,23,22,75.7,0,0,66.0,15,16,8,19,18,19,21,3,21,21,21,16,15,19,14,18,16,16,19,17,18,2,6,15,18,8,18,11,2,18,1
1629655,Daniel Gafford,Daniel,1610612764,WAS,22.0,31,14,17,0.452,383.13166666666666,60,87,0.69,0,0,0.0,27,41,0.659,44,59,103,17,22,11,34,5,54,41,147,-12,409.1,0,0,357.0,11,11,12,4,14,13,14,1,21,22,21,12,11,15,5,14,13,14,13,13,3,11,12,11,13,15,13,11,2,13,1
1628464,Daniel Theis,Daniel,1610612741,CHI,29.0,23,8,15,0.348,573.825,93,178,0.522,16,57,0.281,28,43,0.651,39,97,136,41,25,16,14,12,47,48,230,-98,519.7,3,0,483.0,14,14,9,18,11,11,12,6,11,11,15,11,10,16,6,12,12,13,11,11,10,12,10,10,12,19,11,5,2,12,1
1627756,Denzel Valentine,Denzel,1610612741,CHI,27.0,62,26,36,0.419,1035.775,155,416,0.373,80,242,0.331,16,17,0.941,24,173,197,105,42,30,7,14,70,29,406,45,868.9,0,0,862.0,4,4,19,13,8,9,7,18,4,4,14,13,14,3,13,8,8,6,10,7,12,14,14,14,9,5,9,11,2,9,1
1629653,Devon Dotson,Devon,1610612741,CHI,21.0,11,4,7,0.364,50.21333333333333,11,21,0.524,1,7,0.143,0,0,0.0,2,3,5,7,0,4,0,2,3,2,23,32,51.5,0,0,44.0,20,19,3,17,22,17,18,5,17,18,19,21,22,21,18,22,21,17,22,17,18,6,2,20,18,6,19,11,2,19,1
202066,Garrett Temple,Garrett,1610612741,CHI,35.0,56,25,31,0.446,1528.24,158,381,0.415,67,200,0.335,40,50,0.8,29,131,160,124,58,43,30,12,126,57,423,48,962.0,0,0,920.0,7,6,15,6,5,8,8,17,5,5,11,8,8,11,10,9,9,5,6,4,4,12,18,9,8,4,8,11,2,8,1
