PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT
201166,Aaron Brooks,Aaron,1610612741,CHI,31.0,69,36,33,0.522,1107.71,188,469,0.401,66,185,0.357,49,64,0.766,21,80,101,180,82,30,10,33,132,77,491,-12,920.2,0,0,918.0,4,5,11,3,9,7,7,12,3,4,8,7,8,11,10,11,12,4,5,7,12,11,13,6,7,7,8,9,3,8,1
1626171,Bobby Portis Jr.,Bobby,1610612741,CHI,21.0,62,29,33,0.468,1102.08,186,436,0.427,16,52,0.308,48,66,0.727,123,214,337,52,54,25,22,23,100,66,436,-178,1005.4,6,0,935.0,9,9,11,13,10,9,8,7,12,12,11,8,7,12,3,5,5,12,7,8,6,7,8,7,9,16,7,4,3,7,1
203946,Cameron Bairstow,Cameron,1610612765,DET,25.0,18,4,14,0.222,102.6,13,40,0.325,1,5,0.2,7,8,0.875,4,24,28,6,4,2,3,5,19,6,34,-8,87.6,0,0,79.0,16,16,1,16,16,16,16,16,13,13,13,16,16,3,16,16,16,16,16,16,15,1,1,16,16,5,16,9,3,16,1
1626245,Cristiano Felicio,Cristiano,1610612741,CHI,23.0,31,14,17,0.452,320.7033333333333,40,72,0.556,0,4,0.0,25,35,0.714,30,72,102,26,13,6,13,5,31,22,105,53,310.4,0,0,271.0,12,13,4,14,15,15,15,1,14,14,14,11,11,13,9,13,11,15,15,15,11,1,2,15,15,2,14,9,3,15,1
201565,Derrick Rose,Derrick,1610612741,CHI,27.0,66,32,34,0.485,2097.423333333333,447,1048,0.427,44,150,0.293,142,179,0.793,46,179,225,311,175,44,14,76,84,153,1080,-166,1815.5,1,0,1776.0,6,8,13,11,3,3,1,8,7,6,12,4,4,8,7,7,7,2,1,4,10,16,7,4,3,15,3,6,3,3,1
203926,Doug McDermott,Doug,1610612741,CHI,24.0,81,41,40,0.506,1860.56,291,644,0.452,110,259,0.425,72,84,0.857,37,158,195,59,53,14,6,33,127,66,764,-68,1093.5,0,0,1168.0,1,1,16,8,5,4,4,6,2,2,3,6,6,4,8,9,9,10,8,12,14,11,12,7,5,13,6,9,3,6,1
202734,E'Twaun Moore,E'Twaun,1610612741,CHI,27.0,59,29,30,0.492,1263.1,187,389,0.481,47,104,0.452,22,35,0.629,19,114,133,99,53,37,18,25,103,41,443,-37,863.1,0,0,832.0,10,9,8,10,8,8,9,3,6,7,1,12,11,15,11,10,10,8,8,6,7,9,10,10,8,10,9,9,3,9,1
202710,Jimmy Butler III,Jimmy,1610612741,CHI,26.0,67,37,30,0.552,2473.625,470,1035,0.454,64,205,0.312,395,475,0.832,79,279,358,321,132,110,43,56,124,368,1399,-12,2637.1,10,2,2448.0,5,2,8,2,1,1,2,5,4,3,10,1,1,5,5,4,4,1,3,1,4,14,11,1,1,7,2,2,1,2,1
201149,Joakim Noah,Joakim,1610612741,CHI,31.0,29,15,14,0.517,635.4233333333333,51,133,0.383,0,1,0.0,22,45,0.489,87,168,255,110,52,18,29,16,77,43,124,-34,684.0,1,0,583.0,14,12,1,4,12,13,13,14,14,16,14,12,9,16,4,8,6,5,10,10,5,6,6,9,14,9,11,6,3,11,1
203200,Justin Holiday,Justin,1610612741,CHI,27.0,27,13,14,0.481,510.07,64,155,0.413,26,60,0.433,22,27,0.815,8,55,63,45,26,19,15,12,40,31,176,-48,395.1,0,0,378.0,15,14,1,12,14,12,12,9,9,10,2,12,14,6,13,14,14,13,13,9,9,5,3,13,12,11,13,9,3,13,1
2550,Kirk Hinrich,Kirk,1610612737,ATL,35.0,35,18,17,0.514,555.0283333333333,47,118,0.398,23,56,0.411,15,16,0.938,7,51,58,59,27,13,1,5,63,31,132,-11,305.1,0,0,300.0,11,11,4,6,13,14,14,13,11,11,4,15,15,1,15,15,15,10,12,14,16,1,4,13,13,6,15,9,3,14,1
2399,Mike Dunleavy,Mike,1610612741,CHI,35.0,31,13,18,0.419,702.6366666666667,77,188,0.41,39,99,0.394,29,37,0.784,8,75,83,39,26,14,10,11,66,34,222,-66,426.1,0,0,431.0,12,14,6,15,11,11,11,10,8,8,5,10,10,10,13,12,13,14,13,12,12,4,5,12,11,12,12,9,3,12,1
202703,Nikola Mirotic,Nikola,1610612741,CHI,25.0,66,37,29,0.561,1646.11,248,609,0.407,135,346,0.39,146,181,0.807,58,304,362,100,102,58,46,24,151,137,777,41,1571.4,5,0,1582.0,6,2,7,1,6,6,5,11,1,1,6,3,3,7,6,2,3,7,4,2,3,8,15,5,4,3,5,5,3,4,1
2200,Pau Gasol,Pau,1610612741,CHI,35.0,72,36,36,0.5,2291.358333333333,467,995,0.469,24,69,0.348,229,289,0.792,155,638,793,294,164,42,146,59,148,261,1187,-3,2979.6,46,2,2674.0,3,5,14,9,2,2,3,4,10,9,9,2,2,9,2,1,1,3,2,5,1,15,14,2,2,4,1,1,1,1,1
201959,Taj Gibson,Taj,1610612741,CHI,31.0,73,37,36,0.507,1935.5583333333334,263,500,0.526,0,3,0.0,101,146,0.692,206,298,504,106,78,47,77,54,180,161,627,-153,1684.8,7,0,1485.0,2,2,14,7,4,5,6,2,14,15,14,5,5,14,1,3,2,6,6,3,2,13,16,3,6,14,4,3,3,5,1
203503,Tony Snell,Tony,1610612741,CHI,24.0,64,33,31,0.516,1301.0133333333333,126,339,0.372,56,155,0.361,30,33,0.909,19,180,199,63,52,16,17,28,100,38,338,97,718.3,1,0,722.0,8,7,10,5,7,10,10,15,5,5,7,9,13,2,11,6,8,9,10,11,8,10,8,11,10,1,10,6,3,10,1
