PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT
2243,Brian Scalabrine,Brian,1610612741,CHI,33.0,18,12,6,0.667,87.97833333333334,10,19,0.526,0,5,0.0,0,0,0.0,1,7,8,6,5,3,4,1,18,2,20,-7,54.6,0,0,48.0,12,12,4,13,13,13,13,3,11,10,11,13,14,13,13,13,13,13,13,13,13,3,3,13,13,15,13,7,2,13,1
201228,C.J. Watson,C.J.,1610612741,CHI,27.0,82,62,20,0.756,1090.7333333333333,146,394,0.371,44,112,0.393,69,93,0.742,16,78,94,186,73,55,11,25,82,100,405,140,921.8,0,0,861.0,1,1,9,4,10,8,8,14,5,5,4,9,8,4,10,11,11,3,5,4,10,8,5,8,8,11,8,7,2,8,1
2430,Carlos Boozer,Carlos,1610612741,CHI,29.0,59,47,12,0.797,1881.7616666666668,431,845,0.51,0,0,0.0,171,244,0.701,130,435,565,145,149,45,18,86,186,180,1033,276,1968.5,30,0,1869.0,9,9,5,2,3,3,3,6,11,14,11,3,3,6,3,1,1,4,3,6,9,14,14,3,3,4,3,1,2,3,1
201565,Derrick Rose,Derrick,1610612741,CHI,22.0,81,62,19,0.765,3025.8366666666666,711,1597,0.445,128,385,0.332,476,555,0.858,81,249,330,623,278,85,51,127,136,390,2026,500,3486.5,23,1,3379.0,6,1,8,3,2,1,1,10,1,1,7,1,1,2,6,5,5,1,1,2,4,15,8,1,1,2,1,2,1,1,1
201949,James Johnson,James,1610612761,TOR,24.0,13,8,5,0.615,122.67,17,41,0.415,2,9,0.222,6,13,0.462,6,18,24,14,18,8,9,6,25,13,42,18,124.8,0,0,116.0,13,13,3,14,12,12,12,12,8,7,8,12,12,12,12,12,12,12,12,12,11,5,4,12,12,12,12,7,2,12,1
201149,Joakim Noah,Joakim,1610612741,CHI,26.0,48,36,12,0.75,1575.5283333333334,211,402,0.525,0,1,0.0,139,188,0.739,182,316,498,107,90,48,72,48,156,148,561,178,1589.1,21,0,1406.0,11,11,5,10,7,6,7,4,11,11,11,4,4,5,1,3,2,7,4,5,2,11,10,4,6,8,4,3,2,4,1
101249,John Lucas III,John,1610612741,CHI,28.0,2,1,1,0.5,10.106666666666667,1,3,0.333,0,1,0.0,0,2,0.0,0,0,0,1,0,0,0,0,0,1,2,-3,3.5,0,0,3.0,15,15,2,15,15,15,15,15,11,11,11,13,13,13,14,15,15,14,15,14,14,1,1,14,15,14,15,7,2,15,1
2586,Keith Bogans,Keith,1610612741,CHI,31.0,82,62,20,0.756,1461.3333333333333,124,307,0.404,90,237,0.38,21,32,0.656,19,129,148,101,41,38,9,8,113,48,359,167,788.1,0,0,792.0,1,1,9,4,8,9,9,13,4,4,5,10,10,8,9,10,10,8,11,8,11,6,7,11,9,9,11,7,2,9,1
703,Kurt Thomas,Kurt,1610612741,CHI,38.0,52,39,13,0.75,1178.1533333333334,95,186,0.511,1,1,1.0,20,32,0.625,75,226,301,60,42,32,42,5,164,77,211,158,842.2,0,0,721.0,10,10,7,10,9,10,10,5,9,11,1,11,10,10,7,6,7,9,10,10,6,4,13,9,11,10,9,7,2,10,1
2594,Kyle Korver,Kyle,1610612741,CHI,30.0,82,62,20,0.756,1649.1233333333332,242,557,0.434,120,289,0.415,77,87,0.885,12,138,150,124,60,35,20,10,156,63,681,305,1152.0,0,0,1185.0,1,1,9,4,6,4,4,11,2,3,3,7,9,1,11,9,9,6,8,9,8,7,10,10,4,3,7,7,2,6,1
