season,player_id,player_name,team_id,gp,rim_fgm,rim_fga,blocks,rim_fga_per_game,rim_fg_pct,league_rim_fg_pct,pct_vs_league,rim_makes_saved,minutes,possessions,rim_fga_per_100,rim_points_saved,rim_points_saved_per_100,volume_rank,featured
2018-19,203994,Jusuf Nurkić,1610612757,72,229,416,103,5.7778,55.0481,64.1874,-9.1393,38.0195,1972.8,4171,9.9736,76.039,1.823,13.0,False
2018-19,1626157,Karl-Anthony Towns,1610612750,77,278,485,125,6.2987,57.3196,64.1874,-6.8678,33.3088,2541.0,5361,9.0468,66.6176,1.2426,8.0,False
2018-19,200746,LaMarcus Aldridge,1610612759,81,186,333,107,4.1111,55.8559,64.1874,-8.3315,27.744,2689.2,5509,6.0447,55.488,1.0072,22.0,False
2018-19,201188,Marc Gasol,1610612761,79,239,393,86,4.9747,60.8142,64.1874,-3.3731,13.2564,2433.2,4924,7.9813,26.5128,0.5384,15.0,False
2018-19,1626149,Montrezl Harrell,1610612746,82,213,379,110,4.622,56.2005,64.1874,-7.9869,30.2702,2156.6,4666,8.1226,60.5404,1.2975,17.0,False
2018-19,1626167,Myles Turner,1610612754,74,311,561,199,7.5811,55.4367,64.1874,-8.7507,49.0912,2116.4,4362,12.8611,98.1825,2.2509,2.0,False
2018-19,202357,Nemanja Bjelica,1610612758,77,201,314,56,4.0779,64.0127,64.1874,-0.1746,0.5484,1786.4,3911,8.0286,1.0968,0.028,25.0,False
2018-19,203999,Nikola Jokić,1610612743,80,301,484,55,6.05,62.1901,64.1874,-1.9973,9.6669,2504.0,5140,9.4163,19.3339,0.3761,9.0,False
2018-19,202696,Nikola Vučević,1610612753,78,287,511,86,6.5513,56.1644,64.1874,-8.023,40.9975,2512.0,5194,9.8383,81.9951,1.5786,4.0,False
2018-19,201577,Robin Lopez,1610612741,73,170,310,76,4.2466,54.8387,64.1874,-9.3487,28.9809,1605.8,3353,9.2455,57.9618,1.7287,26.0,True
2018-19,203497,Rudy Gobert,1610612762,80,330,622,185,7.775,53.0547,64.1874,-11.1327,69.2455,2575.8,5439,11.4359,138.4911,2.5463,1.0,False
2018-19,201586,Serge Ibaka,1610612761,74,205,385,103,5.2027,53.2468,64.1874,-10.9406,42.1214,2012.8,4204,9.1579,84.2429,2.0039,16.0,False
2018-19,203500,Steven Adams,1610612760,79,292,487,74,6.1646,59.9589,64.1874,-4.2285,20.5926,2672.0,5829,8.3548,41.1851,0.7066,6.0,False
2018-19,202699,Tobias Harris,1610612755,82,205,308,37,3.7561,66.5584,64.1874,2.3711,-7.3029,2845.4,6050,5.0909,-14.6057,-0.2414,29.0,False
2018-19,1626161,Willie Cauley-Stein,1610612758,81,240,362,51,4.4691,66.2983,64.1874,2.111,-7.6417,2211.3,4818,7.5135,-15.2833,-0.3172,20.0,False
2019-20,201143,Al Horford,1610612755,67,227,363,61,5.4179,62.5344,63.2762,-0.7418,2.6927,2023.4,4241,8.5593,5.3855,0.127,13.0,False
2019-20,203083,Andre Drummond,1610612739,56,240,417,92,7.4464,57.554,63.2762,-5.7223,23.8619,1881.0,3867,10.7836,47.7238,1.2341,7.0,False
2019-20,203076,Anthony Davis,1610612747,62,156,301,143,4.8548,51.8272,63.2762,-11.449,34.4615,2132.8,4556,6.6067,68.9229,1.5128,24.0,False
2019-20,1628389,Bam Adebayo,1610612748,71,195,331,90,4.662,58.9124,63.2762,-4.3638,14.4443,2419.2,4952,6.6842,28.8887,0.5834,18.0,False
2019-20,201572,Brook Lopez,1610612749,67,196,420,161,6.2687,46.6667,63.2762,-16.6096,69.7602,1815.6,4054,10.3601,139.5204,3.4415,5.0,False
2019-20,1628464,Daniel Theis,1610612738,65,209,379,84,5.8308,55.1451,63.2762,-8.1311,30.8169,1566.5,3252,11.6544,61.6338,1.8953,10.0,False
2019-20,1627734,Domantas Sabonis,1610612754,62,211,354,30,5.7097,59.6045,63.2762,-3.6717,12.9979,2157.6,4464,7.9301,25.9957,0.5823,15.0,False
2019-20,1627827,Dorian Finney-Smith,1610612742,69,159,263,39,3.8116,60.4563,63.2762,-2.82,7.4165,2122.9,4416,5.9556,14.833,0.3359,29.0,False
2019-20,202355,Hassan Whiteside,1610612757,66,292,553,192,8.3788,52.8029,63.2762,-10.4733,57.9176,2010.0,4228,13.0795,115.8351,2.7397,2.0,False
2019-20,201935,James Harden,1610612745,68,190,267,60,3.9265,71.161,63.2762,7.8848,-21.0525,2482.0,5319,5.0197,-42.1049,-0.7916,28.0,False
2019-20,1628991,Jaren Jackson Jr.,1610612763,57,168,306,92,5.3684,54.902,63.2762,-8.3743,25.6253,1624.5,3522,8.6882,51.2505,1.4552,22.0,False
2019-20,1628386,Jarrett Allen,1610612751,70,216,418,92,5.9714,51.6746,63.2762,-11.6016,48.4947,1855.0,3922,10.6578,96.9893,2.473,6.0,False
2019-20,203954,Joel Embiid,1610612755,51,221,368,65,7.2157,60.0543,63.2762,-3.2219,11.8565,1504.5,3201,11.4964,23.7131,0.7408,12.0,False
2019-20,202685,Jonas Valanciunas,1610612763,70,209,381,76,5.4429,54.8556,63.2762,-8.4206,32.0824,1848.0,3973,9.5897,64.1649,1.615,9.0,False
2019-20,201567,Kevin Love,1610612739,56,231,322,19,5.75,71.7391,63.2762,8.4629,-27.2505,1780.8,3727,8.6397,-54.5011,-1.4623,20.0,False
2019-20,204001,Kristaps Porziņģis,1610612742,55,193,374,107,6.8,51.6043,63.2762,-11.672,43.6531,1812.6,3839,9.7421,87.3062,2.2742,11.0,False
2019-20,200746,LaMarcus Aldridge,1610612759,52,164,276,84,5.3077,59.4203,63.2762,-3.8559,10.6424,1754.3,3642,7.5783,21.2848,0.5844,26.0,False
