SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
22004,1610612741,CHI,Chicago Bulls,0020400025,2004-11-05,CHI vs. NJN,L,290,106,39,105,0.371,12,34,0.353,16,27,0.593,20,26,46,21,8,4,19,34,-5.0
22004,1610612741,CHI,Chicago Bulls,0020400035,2004-11-06,CHI @ IND,L,240,90,35,78,0.449,5,18,0.278,15,21,0.714,15,22,37,21,11,4,23,31,-10.0
22004,1610612741,CHI,Chicago Bulls,0020400055,2004-11-09,CHI vs. PHX,L,240,74,31,94,0.33,1,21,0.048,11,17,0.647,21,31,52,22,9,6,15,21,-20.0
22004,1610612741,CHI,Chicago Bulls,0020400085,2004-11-13,CHI vs. LAC,L,240,96,35,82,0.427,7,15,0.467,19,31,0.613,12,34,46,24,5,2,11,30,-1.0
22004,1610612741,CHI,Chicago Bulls,0020400104,2004-11-16,CHI @ SAC,L,240,106,41,92,0.446,12,24,0.5,12,18,0.667,20,32,52,19,7,2,18,28,-7.0
22004,1610612741,CHI,Chicago Bulls,0020400116,2004-11-17,CHI @ GSW,L,240,85,33,82,0.402,7,21,0.333,12,14,0.857,11,30,41,26,11,2,24,25,-13.0
22004,1610612741,CHI,Chicago Bulls,0020400125,2004-11-19,CHI @ DEN,L,240,81,32,76,0.421,3,14,0.214,14,19,0.737,6,33,39,23,5,2,22,28,-18.0
22004,1610612741,CHI,Chicago Bulls,0020400145,2004-11-21,CHI @ LAL,L,240,93,37,80,0.463,7,23,0.304,12,18,0.667,6,27,33,28,9,1,12,26,-9.0
22004,1610612741,CHI,Chicago Bulls,0020400149,2004-11-22,CHI @ PHX,L,240,82,32,84,0.381,5,18,0.278,13,23,0.565,16,29,45,14,6,3,17,25,-18.0
22004,1610612741,CHI,Chicago Bulls,0020400167,2004-11-24,CHI @ UTA,W,240,101,30,68,0.441,6,16,0.375,35,40,0.875,5,25,30,17,5,1,16,31,2.0
22004,1610612741,CHI,Chicago Bulls,0020400187,2004-11-27,CHI @ CLE,L,240,74,28,70,0.4,2,10,0.2,16,24,0.667,9,26,35,17,6,1,15,16,-22.0
22004,1610612741,CHI,Chicago Bulls,0020400216,2004-12-01,CHI vs. LAL,W,240,92,34,86,0.395,5,16,0.313,19,23,0.826,16,35,51,22,9,4,13,18,8.0
22004,1610612741,CHI,Chicago Bulls,0020400229,2004-12-03,CHI vs. MIA,L,240,81,33,88,0.375,7,17,0.412,8,14,0.571,12,27,39,24,4,3,11,23,-24.0
22004,1610612741,CHI,Chicago Bulls,0020400237,2004-12-04,CHI @ WAS,L,240,88,31,71,0.437,5,17,0.294,21,24,0.875,17,33,50,16,4,10,28,32,-7.0
22004,1610612741,CHI,Chicago Bulls,0020400250,2004-12-06,CHI vs. SAS,L,240,75,30,77,0.39,3,12,0.25,12,15,0.8,8,30,38,19,8,7,17,20,-16.0
22004,1610612741,CHI,Chicago Bulls,0020400269,2004-12-08,CHI vs. CLE,W,240,113,37,70,0.529,5,9,0.556,34,39,0.872,11,35,46,22,7,7,20,26,28.0
22004,1610612741,CHI,Chicago Bulls,0020400281,2004-12-10,CHI vs. PHI,L,240,88,32,80,0.4,7,25,0.28,17,24,0.708,14,27,41,25,9,6,17,21,-5.0
22004,1610612741,CHI,Chicago Bulls,0020400290,2004-12-11,CHI vs. MIN,W,240,99,39,84,0.464,8,16,0.5,13,24,0.542,16,37,53,23,3,2,14,25,11.0
22004,1610612741,CHI,Chicago Bulls,0020400304,2004-12-13,CHI vs. DAL,L,241,93,41,78,0.526,4,18,0.222,7,12,0.583,10,32,42,29,6,2,22,22,-1.0
22004,1610612741,CHI,Chicago Bulls,0020400321,2004-12-15,CHI @ MEM,W,241,96,35,75,0.467,9,17,0.529,17,20,0.85,9,27,36,24,9,5,13,16,8.0
22004,1610612741,CHI,Chicago Bulls,0020400327,2004-12-16,CHI vs. MIL,W,240,85,34,69,0.493,3,15,0.2,14,22,0.636,10,34,44,19,5,10,14,18,8.0
22004,1610612741,CHI,Chicago Bulls,0020400344,2004-12-18,CHI vs. IND,W,240,85,30,80,0.375,4,16,0.25,21,32,0.656,16,46,62,19,6,4,18,28,14.0
