game_id,player_points,team_points
0022500023,135,135
0022500035,110,110
0022500051,107,107
0022500071,116,116
0022500084,115,115
0022500100,110,110
0022500115,128,128
0022500132,126,126
0022500153,116,116
0022500167,113,113
0022500186,122,122
0022500202,117,117
0022500214,113,113
0022500240,147,147
0022500248,130,130
0022500263,122,122
0022500271,121,121
0022500289,130,130
0022500295,101,101
0022500314,120,120
0022500329,103,103
0022500345,105,105
0022500361,91,91
0022500367,127,127
0022500384,136,136
0022500396,152,152
0022500411,126,126
0022500427,109,109
0022500437,103,103
0022500452,101,101
0022500466,134,134
0022500480,121,121
0022500489,99,99
0022500503,101,101
0022500517,93,93
0022500529,113,113
0022500546,125,125
0022500565,113,113
0022500573,128,128
0022500587,109,109
0022500603,124,124
0022500614,138,138
0022500631,120,120
0022500647,114,114
0022500661,118,118
0022500672,110,110
0022500692,125,125
0022500705,91,91
0022500722,115,115
0022500736,107,107
0022500752,120,120
0022500762,115,115
0022500778,105,105
0022500797,101,101
0022500814,110,110
0022500825,99,99
0022500836,99,99
0022500853,112,112
0022500870,120,120
0022500889,108,108
0022500905,105,105
0022500930,110,110
0022500943,130,130
0022500960,130,130
0022500968,108,108
0022500987,132,132
0022501002,109,109
0022501011,110,110
0022501042,132,132
0022501053,137,137
0022501070,113,113
0022501079,124,124
0022501094,114,114
0022501109,126,126
0022501123,96,96
0022501134,110,110
0022501148,129,129
0022501166,119,119
0022501177,103,103
0022501193,128,128
0022501209,129,129
0022501223,104,104
