PLAYER_ID,PLAYER_NAME,GP,MIN,STL,BLK
101133,Ian Mahinmi,26,164.64333333333335,3,8
2137,Ime Udoka,69,944.24,34,6
200826,J.J. Barea,78,1545.5633333333333,35,6
201592,J.R. Giddens,32,239.09333333333333,9,2
201581,JJ Hickson,81,1691.3383333333334,36,39
200755,JJ Redick,82,1808.1566666666668,28,4
2747,JR Smith,75,2081.825,99,20
201580,JaVale McGee,60,967.905,16,101
2048,Jamaal Magloire,36,359.4033333333333,9,11
2224,Jamaal Tinsley,38,588.7716666666666,33,5
2037,Jamal Crawford,79,2459.9866666666667,61,12
200081,Jamario Moon,61,1052.17,34,30
2749,Jameer Nelson,65,1860.0516666666667,48,2
201935,James Harden,76,1738.36,80,20
201949,James Johnson,65,757.1766666666666,21,43
2592,James Jones,36,503.4816666666667,11,4
1899,James Posey,77,1731.4683333333332,42,19
101189,James Singleton,57,977.8766666666667,28,43
201191,JamesOn Curry,1,0.065,0,0
2457,Jannero Pargo,63,828.5233333333333,29,2
201162,Jared Dudley,82,1990.8616666666667,81,16
2407,Jared Jeffries,70,1793.4833333333333,62,71
101127,Jarrett Jack,82,2243.44,60,6
2260,Jarron Collins,34,260.46,2,3
2553,Jarvis Hayes,45,1032.48,29,9
2215,Jason Collins,24,114.72666666666667,3,2
2078,Jason Hart,5,22.145,2,1
2574,Jason Kapono,57,975.99,21,6
467,Jason Kidd,80,2880.89,145,35
101131,Jason Maxiell,76,1549.6916666666666,36,38
2202,Jason Richardson,79,2485.0583333333334,66,33
201160,Jason Smith,56,658.3433333333334,21,28
1891,Jason Terry,77,2539.5016666666666,94,17
201574,Jason Thompson,75,2357.3516666666665,41,73
1715,Jason Williams,82,1702.9183333333333,53,3
101214,Jawad Williams,54,742.1216666666667,12,5
201965,Jeff Ayres,39,405.0233333333333,7,16
1902,Jeff Foster,16,254.79666666666665,3,4
201145,Jeff Green,82,3043.0666666666666,104,72
201952,Jeff Teague,71,718.4983333333333,34,11
979,Jermaine O'Neal,70,1991.3366666666666,25,95
201966,Jermaine Taylor,31,302.6983333333333,10,3
711,Jerry Stackhouse,42,854.7383333333333,21,9
201573,Jerryd Bayless,74,1304.24,26,5
201149,Joakim Noah,64,1924.69,32,100
201975,Jodie Meeks,60,718.8166666666667,18,5
201570,Joe Alexander,8,28.898333333333333,1,1
2207,Joe Johnson,76,2885.775,82,5
693,Joe Smith,64,591.9383333333334,6,19
201202,Joel Anthony,80,1322.3783333333333,20,109
2038,Joel Przybilla,30,681.2983333333333,8,43
201595,Joey Dorsey,15,106.75166666666667,3,2
101121,Joey Graham,63,758.8283333333334,23,7
101130,Johan Petro,36,435.49,10,13
2422,John Salmons,81,2824.596666666667,99,26
201972,Jon Brockman,52,653.6566666666666,15,5
201973,Jonas Jerebko,80,2232.2,79,29
1886,Jonathan Bender,25,292.4483333333333,2,17
201938,Jonny Flynn,81,2339.4166666666665,82,2
200770,Jordan Farmar,82,1474.0433333333333,52,11
201941,Jordan Hill,47,624.0983333333334,14,21
101181,Jose Calderon,68,1817.2666666666667,47,7
200767,Josh Boone,63,1045.4633333333334,30,48
2572,Josh Howard,35,917.8416666666667,26,11
201177,Josh McRoberts,42,524.0316666666666,17,16
2694,Josh Powell,63,580.8333333333334,9,6
2746,Josh Smith,81,2870.483333333333,130,172
201950,Jrue Holiday,73,1766.7616666666668,79,18
201153,Julian Wright,68,870.7,29,18
436,Juwan Howard,73,1631.5233333333333,27,10
2416,Kareem Rush,7,57.77166666666667,2,3
