PLAYER_ID,PLAYER_NAME,HEIGHT,HEIGHT_IN,POSITION,SEASON_ID,GP,MIN,MPG,PTS,PPG,QUALIFIED
1642530,Yuki Kawamura,5-7,67,G,2025-26,18,209,11.61111111111111,62,3.4444444444444446,False
101126,Nate Robinson,5-9,69,G,2012-13,82,2086,25.4390243902439,1074,13.097560975609756,True
2857,Andre Barrett,5-10,70,G,2006-07,6,29,4.833333333333333,8,1.3333333333333333,False
696,Travis Best,5-11,71,G,2001-02,30,793,26.433333333333337,279,9.3,False
77042,Wilbur Holland,6-0,72,G,1977-78,82,2884,35.170731707317074,1361,16.597560975609756,True
1630200,Tre Jones,6-1,73,G,2025-26,65,1752,26.95384615384615,914,14.06153846153846,True
769,B.J. Armstrong,6-2,74,G,1993-94,82,2770,33.78048780487805,1212,14.78048780487805,True
201565,Derrick Rose,6-3,75,G,2010-11,81,3026,37.358024691358025,2026,25.012345679012345,True
2548,Dwyane Wade,6-4,76,G,2016-17,60,1792,29.866666666666667,1096,18.266666666666666,True
203897,Zach LaVine,6-5,77,G,2020-21,58,2034,35.06896551724138,1591,27.43103448275862,True
893,Michael Jordan,6-6,78,G,1986-87,82,3281,40.01219512195122,3041,37.08536585365854,True
202710,Jimmy Butler III,6-7,79,F,2016-17,76,2809,36.96052631578947,1816,23.894736842105264,True
147,Jalen Rose,6-8,80,F-G,2002-03,82,3351,40.86585365853659,1816,22.146341463414632,True
78615,Orlando Woolridge,6-9,81,F,1984-85,77,2816,36.57142857142857,1767,22.948051948051948,True
202696,Nikola Vučević,6-10,82,C,2024-25,73,2278,31.205479452054796,1349,18.47945205479452,True
389,Toni Kukoc,6-11,83,F-G,1998-99,44,1654,37.59090909090909,828,18.818181818181817,True
1628374,Lauri Markkanen,7-0,84,F-C,2018-19,52,1682,32.34615384615385,974,18.73076923076923,True
76362,Bill Cartwright,7-1,85,C,1988-89,78,2333,29.91025641025641,966,12.384615384615383,True
600014,Artis Gilmore,7-2,86,C,1978-79,82,3265,39.81707317073171,1940,23.658536585365855,True
77707,Chuck Nevitt,7-5,89,C,1991-92,4,9,2.25,2,0.5,False
